Welcome Back!,மீண்டும் வரவேற்கிறோம்!
Show ${label} width,${label} அகலத்தைக் காட்டு
Column ${index},நெடுவரிசை ${index}
Switch page,பக்கத்தை மாற்று
Search pages…,பக்கங்களைத் தேடு…
Search pages,பக்கங்களைத் தேடு
Save your pending edits — the live storefront will catch up,உங்கள் நிலுவையில் உள்ள திருத்தங்களைச் சேமிக்கவும் — நேரடி கடைமுகப்பு பின்தொடரும்
No changes to save — the rollout matches the editor,சேமிக்க மாற்றங்கள் இல்லை — ரோல்அவுட் எடிட்டருடன் பொருந்துகிறது
More rollout actions,மேலும் ரோல்அவுட் செயல்கள்
Revert to saved state…,சேமிக்கப்பட்ட நிலைக்குத் திரும்பு…
Roll back the editor to what the rollout currently shows on the storefront,கடைமுகப்பில் ரோல்அவுட் தற்போது காட்டுவதற்கு எடிட்டரை மீட்டமைக்கவும்
Nothing to revert — the editor matches the saved state,மீட்டெடுக்க எதுவுமில்லை — எடிட்டர் சேமிக்கப்பட்ட நிலையுடன் பொருந்துகிறது
Cancel rollout plan…,ரோல்அவுட் திட்டத்தை ரத்துசெய்…
Remove the schedule — the changeset is preserved,அட்டவணையை அகற்று — மாற்றத்தொகுப்பு பாதுகாக்கப்படுகிறது
Publish,வெளியிடு
More publish options,மேலும் வெளியீட்டு விருப்பங்கள்
Apply all edits to the live storefront immediately,அனைத்து திருத்தங்களையும் நேரடி கடைமுகப்பில் உடனடியாகப் பயன்படுத்து
Save as rollout plan…,ரோல்அவுட் திட்டமாக சேமி…
Schedule these edits to roll out at a future time,இந்த திருத்தங்களை எதிர்காலத்தில் வெளியிட திட்டமிடவும்
Discard pending changes…,நிலுவையில் உள்ள மாற்றங்களை நிராகரி…
Choose between discarding the whole draft or just this page,முழு வரைவையும் நிராகரிப்பது அல்லது இந்தப் பக்கத்தை மட்டும் நிராகரிப்பது இடையே தேர்வுசெய்யவும்
Switch session,அமர்வை மாற்று
New changeset,புதிய மாற்றத்தொகுப்பு
Rollout: ${name},ரோல்அவுட்: ${name}
Click or drag to add,சேர்க்க கிளிக் செய்யவும் அல்லது இழுக்கவும்
Background color,பின்னணி நிறம்
Text color,உரை நிறம்
Dwell time,நிலைத்திருக்கும் நேரம்
Time each announcement stays visible (in addition to the 400ms slide transition).,ஒவ்வொரு அறிவிப்பும் காணப்படும் நேரம் (400ms ஸ்லைடு மாற்றத்திற்கு கூடுதலாக).
Announcements,அறிவிப்புகள்
Add announcement,அறிவிப்பைச் சேர்
Untitled,தலைப்பில்லாதது
Free shipping on orders over $50,$50 க்கு மேலான ஆர்டர்களுக்கு இலவச அனுப்புதல்
Optional. Makes the entire row a clickable link.,விருப்பத்தேர்வு. முழு வரிசையையும் கிளிக் செய்யக்கூடிய இணைப்பாக மாற்றுகிறது.
Link label,இணைப்பு லேபிள்
Optional. Displayed after the content; defaults to the content itself.,விருப்பத்தேர்வு. உள்ளடக்கத்திற்குப் பிறகு காட்டப்படும்; இயல்பாக உள்ளடக்கமாகவே இருக்கும்.
Shop now,இப்போது வாங்கு
Dark,இருண்ட
Light,ஒளிமயமான
Gradient,சாய்வுநிறம்
Left,இடது
Center,நடு
Right,வலது
Selected image,தேர்ந்தெடுக்கப்பட்ட படம்
No image selected,எந்தப் படமும் தேர்ந்தெடுக்கப்படவில்லை
Replace,மாற்று
Clear,அழி
Reflects the alignment below.,கீழே உள்ள சீரமைப்பைப் பிரதிபலிக்கிறது.
Banner Image,பேனர் படம்
Mobile image,மொபைல் படம்
Optional. Swapped in below the 768px breakpoint. Falls back to the image above when empty — typical use is a portrait crop of the same scene.,விருப்பத்தேர்வு. 768px முறிவுப்புள்ளிக்கு கீழே பயன்படுத்தப்படும். காலியாக இருக்கும்போது மேலே உள்ள படத்திற்குத் திரும்பும் — பொதுவாக அதே காட்சியின் செங்குத்துப் பகுதியாகப் பயன்படுத்தப்படுகிறது.
Alignment,சீரமைப்பு
Overlay copy,மேலடுக்கு உரை
Eyebrow,மேல்தலைப்பு
"Small all-caps label above the heading. E.g. ""LIMITED EDITION"".","தலைப்பிற்கு மேல் சிறிய பெரிய எழுத்து லேபிள். எ.கா. ""LIMITED EDITION""."
LIMITED EDITION,வரையறுக்கப்பட்ட பதிப்பு
Heading,தலைப்பு
The Summer Edit,த சம்மர் எடிட்
Sub-text,துணை உரை
One short supporting sentence.,ஒரு குறுகிய துணை வாக்கியம்.
Overlay placement,மேலடுக்கு இடம்
Content position,உள்ளடக்க நிலை
Where the overlay text sits on the image.,படத்தில் மேலடுக்கு உரை எங்கு அமைகிறது.
Tint,நிறச்சாயல்
A scrim behind the overlay text for legibility. Dark / gradient flip the text to white automatically.,படிக்கக்கூடிய தன்மைக்காக மேலடுக்கு உரைக்குப் பின்னால் ஒரு திரை. இருண்ட / சாய்வுநிறம் உரையைத் தானாகவே வெள்ளையாக மாற்றும்.
Tint opacity,நிறச்சாயல் ஒளிபுகாமை
Call to actions,செயல் அழைப்புகள்
Remove primary CTA,முதன்மை CTA ஐ அகற்று
+ Add a primary CTA,+ முதன்மை CTA ஐச் சேர்
Secondary,இரண்டாம்நிலை
Remove secondary CTA,இரண்டாம்நிலை CTA ஐ அகற்று
Learn more,மேலும் அறிக
+ Add a secondary CTA,+ இரண்டாம் நிலை CTA-ஐச் சேர்க்கவும்
Details,விவரங்கள்
Alt text,மாற்று உரை
Describes the banner for screen readers and SEO.,திரை வாசிப்பான்கள் மற்றும் SEO-க்காக பேனரை விவரிக்கிறது.
"e.g. ""Summer sale promotional banner""","எ.கா. ""கோடை விற்பனை விளம்பர பேனர்"""
Banner link,பேனர் இணைப்பு
Optional. Clicking the banner navigates here.,விருப்பத்தேர்வு. பேனரைக் கிளிக் செய்தால் இங்கே செல்லும்.
Display name,காட்சிப் பெயர்
Shop,கடை
Target,இலக்கு
"Page, category, product, or a custom URL.","பக்கம், வகை, தயாரிப்பு அல்லது தனிப்பயன் URL."
Nofollow,Nofollow
SEO: don't pass ranking credit to this link (rel=nofollow).,SEO: இந்த இணைப்புக்கு தரவரிசை மதிப்பை அளிக்க வேண்டாம் (rel=nofollow).
No referrer,பரிந்துரைப்பான் இல்லை
Privacy: drop the referring URL (rel=noreferrer). New-tab links always include this.,தனியுரிமை: பரிந்துரைக்கும் URL-ஐ நீக்கவும் (rel=noreferrer). புதிய-தாவல் இணைப்புகள் எப்போதும் இதைச் சேர்க்கும்.
Menu items,மெனு உருப்படிகள்
Add menu item,மெனு உருப்படியைச் சேர்க்கவும்
Sub-items,துணை உருப்படிகள்
Optional dropdown links (1 level).,விருப்பத்தேர்வு கீழ்விரி இணைப்புகள் (1 நிலை).
Add sub-item,துணை உருப்படியைச் சேர்க்கவும்
Options,விருப்பங்கள்
Use as main menu,முதன்மை மெனுவாகப் பயன்படுத்து
"Primary navigation — on mobile it collapses into a hamburger menu. Turn off for a simple link list (e.g. a footer), which stays inline on mobile.","முதன்மை வழிசெலுத்தல் — மொபைலில் இது ஹேம்பர்கர் மெனுவாக சுருங்கும். எளிய இணைப்புப் பட்டியலுக்கு (எ.கா. அடிப்பகுதி) இதை அணைக்கவும், அது மொபைலில் வரிசையில் இருக்கும்."
Custom CSS classes,தனிப்பயன் CSS கிளாஸ்கள்
Applied to the rendered menu element.,வழங்கப்பட்ட மெனு உறுப்புக்குப் பயன்படுத்தப்படும்.
e.g. main-nav font-semibold,எ.கா. main-nav font-semibold
S,S
M,M
L,L
Tiles,டைல்கள்
Add tile,டைலைச் சேர்க்கவும்
Hero · ,ஹீரோ · 
Used when no image is set.,எந்த படமும் அமைக்கப்படாதபோது பயன்படுத்தப்படும்.
Small label above the heading.,தலைப்புக்கு மேலே சிறிய லேபிள்.
THE SUMMER EDIT,THE SUMMER EDIT
New Arrivals,புதிய வரவுகள்
Body,உள்ளடக்கம்
Big card — the headline of the grid.,பெரிய கார்டு — கட்டத்தின் தலைப்பு.
Link URL,இணைப்பு URL
Gap,இடைவெளி
Minimum block height,குறைந்தபட்ச தொகுதி உயரம்
Image left,படம் இடதுபுறம்
Image right,படம் வலதுபுறம்
Centered,மையப்படுத்தப்பட்டது
Pull quote,முன்னிலை மேற்கோள்
Variant,மாறுபாடு
Image column size,படம் நெடுவரிசை அளவு
Describe the image,படத்தை விவரிக்கவும்
Copy,உரை
"Small all-caps label. E.g. ""OUR STORY"".","சிறிய பெரிய எழுத்து லேபிள். எ.கா. ""OUR STORY""."
Our story,எங்கள் கதை
"Made by hand, in small batches","கையால் செய்யப்பட்டது, சிறிய தொகுதிகளில்"
"Required for the pull-quote variant. Displayed large, styled as a blockquote.","முன்னிலை மேற்கோள் மாறுபாட்டிற்குத் தேவை. பெரியதாகக் காட்டப்படும், ப்ளாக்கோட் வடிவில்."
"A short, quotable line.","ஒரு குறுகிய, மேற்கோளிடத்தக்க வரி."
Three or four sentences of brand narrative.,பிராண்ட் கதையின் மூன்று அல்லது நான்கு வாக்கியங்கள்.
Second body paragraph (optional),இரண்டாவது உள்ளடக்கப் பத்தி (விருப்பத்தேர்வு)
A second short paragraph if the story needs it.,கதைக்குத் தேவைப்பட்டால் இரண்டாவது குறுகிய பத்தி.
Read more link,மேலும் படிக்க இணைப்பு
Read more,மேலும் படிக்க
URL,URL
Remove read-more link,மேலும் படிக்க இணைப்பை அகற்று
+ Add a read-more link,+ மேலும் படிக்க இணைப்பைச் சேர்க்கவும்
Square,சதுரம்
Landscape,அகலவாக்கு
Portrait,நெடுவாக்கு
Overlay,மேலடுக்கு
Below,கீழே
New category,புதிய வகை
Section heading,பிரிவுத் தலைப்பு
Optional. Shown above the grid.,விருப்பத்தேர்வு. கட்டத்திற்கு மேலே காட்டப்படும்.
Shop by category,வகையின்படி கடை செய்யவும்
Women,பெண்கள்
Columns,நெடுவரிசைகள்
Auto,தானியங்கி
Asymmetric makes the first tile span 2 columns.,சமச்சீரற்றது முதல் டைலை 2 நெடுவரிசைகளில் விரிக்கச் செய்யும்.
Uniform,சீரானது
Asymmetric,சமச்சீரற்றது
Image aspect,படம் விகிதம்
Label position,லேபிள் நிலை
Blush,இளஞ்சிவப்பு
XL,XL
Position ${c},நிலை ${c}
Column layout,நெடுவரிசை அமைப்பு
Drag widgets into each column. Children re-flow when you change the ratio.,ஒவ்வொரு நெடுவரிசையிலும் விட்ஜெட்களை இழுக்கவும். விகிதத்தை மாற்றும்போது குழந்தைகள் மீண்டும் ஒழுங்கமைக்கப்படும்.
Space between columns.,நெடுவரிசைகளுக்கு இடையேயான இடைவெளி.
Where content sits within each column. Applied uniformly to every column.,ஒவ்வொரு நெடுவரிசையிலும் உள்ளடக்கம் எங்கே அமைகிறது. ஒவ்வொரு நெடுவரிசைக்கும் சீராகப் பயன்படுத்தப்படும்.
Row appearance,வரிசை தோற்றம்
Background,பின்னணி
Custom color,தனிப்பயன் நிறம்
"Any CSS color (e.g. ""#0a0a0a"" or ""rgb(10,10,10)""). Leave empty to use the swatch above.","எந்த CSS நிறமும் (எ.கா. ""#0a0a0a"" அல்லது ""rgb(10,10,10)""). மேலே உள்ள மாதிரியைப் பயன்படுத்த காலியாக விடவும்."
Padding,உள்ளடக்க இடைவெளி
Outer spacing around the row. Scales down on mobile.,வரிசையைச் சுற்றியுள்ள வெளி இடைவெளி. மொபைலில் சிறிதாகும்.
Solid,திடம்
Dashed,புள்ளிக்கோடு
Already expired,ஏற்கனவே காலாவதியானது
Expires in ${days}d ${hours}h,${days}நா ${hours}ம-இல் காலாவதியாகும்
Expires in ${hours}h ${minutes}m,${hours}ம ${minutes}நி-இல் காலாவதியாகும்
Offer,சலுகை
"Urgency line. Optional. E.g. ""Limited · Ends Sunday"".","அவசர வரி. விருப்பத்தேர்வு. எ.கா. ""Limited · Ends Sunday""."
Limited · Ends Sunday,வரம்பு · ஞாயிறு முடிவடைகிறது
Headline,தலைப்பு
Take 20% off your order,உங்கள் ஆர்டரில் 20% தள்ளுபடி பெறுங்கள்
Optional. One short instructional line.,விருப்பத்தேர்வு. ஒரு குறுகிய அறிவுறுத்தல் வரி.
Use code at checkout,செக்அவுட்டில் குறியீட்டைப் பயன்படுத்தவும்
Promo code,விளம்பரக் குறியீடு
Displayed in uppercase to shoppers.,வாங்குபவர்களுக்கு பெரிய எழுத்தில் காட்டப்படும்.
Expires,காலாவதியாகும்
Optional. The block auto-hides after this time for live visitors.,விருப்பத்தேர்வு. நேரடி பார்வையாளர்களுக்கு இந்த நேரத்திற்குப் பிறகு தொகுதி தானாக மறையும்.
Call to action,செயல்படுத்தும் அழைப்பு
Button label,பொத்தான் லேபிள்
Shop now →,இப்போது கடை செய்யவும் →
Button link,பொத்தான் இணைப்பு
Appearance,தோற்றம்
Border,எல்லை
Narrow,குறுகலான
Normal,சாதாரண
Wide,அகலமான
Shown above all content. Optional.,அனைத்து உள்ளடக்கத்திற்கும் மேலே காட்டப்படும். விருப்பத்தேர்வு.
e.g. Frequently asked,எ.கா. அடிக்கடி கேட்கப்படுபவை
Prose,உரை
FAQ group · ${count} items,FAQ குழு · ${count} உருப்படிகள்
Group heading,குழுத் தலைப்பு
Optional sub-heading.,விருப்பத்தேர்வு துணைத் தலைப்பு.
e.g. Shipping,எ.கா. கப்பல் போக்குவரத்து
Add question,கேள்வியைச் சேர்க்கவும்
Question,கேள்வி
e.g. How long does shipping take?,எ.கா. கப்பல் போக்குவரத்துக்கு எவ்வளவு நேரம் ஆகும்?
Answer,பதில்
"Supports **bold**, _italic_, and line breaks.","**bold**, _italic_ மற்றும் வரி முறிவுகளை ஆதரிக்கிறது."
e.g. Orders ship within 24 hours…,எ.கா. ஆர்டர்கள் 24 மணி நேரத்திற்குள் அனுப்பப்படும்…
Add prose,உரையைச் சேர்க்கவும்
Add FAQ group,FAQ குழுவைச் சேர்க்கவும்
Max width,அதிகபட்ச அகலம்
Content column width.,உள்ளடக்க நெடுவரிசை அகலம்.
Allow multiple open,பல திறப்புகளை அனுமதி
"When off, opening one FAQ item closes the others in the same group.","அணைக்கப்பட்டால், ஒரு FAQ உருப்படியைத் திறப்பது அதே குழுவில் உள்ள மற்றவற்றை மூடும்."
New link,புதிய இணைப்பு
New column,புதிய நெடுவரிசை
Add column,நெடுவரிசையைச் சேர்க்கவும்
${title} · ${count} links,${title} · ${count} இணைப்புகள்
Column title,நெடுவரிசை தலைப்பு
Links,இணைப்புகள்
"Min 1, max 12.","குறைந்தபட்சம் 1, அதிகபட்சம் 12."
Add link,இணைப்பைச் சேர்க்கவும்
New arrivals,புதிய வரவுகள்
Boxed,பெட்டியிடப்பட்டது
Wide (full bleed),அகலம் (முழு விரிவு)
Boxed stays inside the page's container (theme decides the max-width). Wide breaks out edge-to-edge.,பெட்டியிடப்பட்டது பக்கத்தின் கொள்கலனுக்குள் இருக்கும் (அதிகபட்ச அகலத்தை தீம் தீர்மானிக்கிறது). அகலம் விளிம்பு முதல் விளிம்பு வரை விரிகிறது.
Scales down on mobile.,மொபைலில் சிறிதாகும்.
Optional. Painted behind content. Combine with a tint below for legibility.,விருப்பத்தேர்வு. உள்ளடக்கத்தின் பின்னால் வரையப்படும். படிக்கக்கூடிய தன்மைக்காக கீழே உள்ள நிறச்சாயலுடன் இணைக்கவும்.
XS,XS
Spacing,இடைவெளி
Size,அளவு
Mobile scales down ~⅔ automatically.,மொபைலில் தானாகவே ~⅔ அளவு குறைக்கப்படும்.
Divider line,பிரிப்பான் கோடு
Show divider line,பிரிப்பான் கோட்டைக் காட்டு
A horizontal rule centred in the spacing band.,இடைவெளிப் பகுதியின் நடுவில் ஒரு கிடைமட்டக் கோடு.
Line color,கோட்டின் நிறம்
Default uses the theme's divider color.,இயல்பாக தீமின் பிரிப்பான் நிறத்தைப் பயன்படுத்துகிறது.
Sides,பக்கங்கள்
Bottom,கீழே
Dots,புள்ளிகள்
Bars,கம்பிகள்
Mobile image (optional),மொபைல் படம் (விருப்பத்திற்குரியது)
Used at ≤ 767 px. Falls back to the main image.,≤ 767 px இல் பயன்படுத்தப்படுகிறது. இல்லையெனில் முதன்மைப் படத்தைப் பயன்படுத்தும்.
e.g. New collection,எ.கா. புதிய தொகுப்பு
e.g. Summer Sale,எ.கா. கோடைகால விற்பனை
Sub text,துணை உரை
Check out our latest products with special discounts.,சிறப்புத் தள்ளுபடிகளுடன் எங்கள் சமீபத்திய தயாரிப்புகளைப் பாருங்கள்.
Primary button,முதன்மை பொத்தான்
Secondary button,இரண்டாம்நிலை பொத்தான்
+ Add secondary button,+ இரண்டாம்நிலை பொத்தானைச் சேர்
Overrides,மேலெழுதல்கள்
Leaves slide-specific anchor; falls back to the slideshow's default.,ஸ்லைடு சார்ந்த நங்கூரத்தை விட்டுவிடுகிறது; இல்லையெனில் ஸ்லைடுஷோவின் இயல்புநிலையைப் பயன்படுத்தும்.
Overlay tint,மேற்படிவு சாயம்
Overlay opacity,மேற்படிவு ஒளிபுகாமை
Make whole slide clickable,முழு ஸ்லைடையும் கிளிக் செய்யக்கூடியதாக்கு
Behavior,நடத்தை
Transition,மாற்றம்
Slide,ஸ்லைடு
Fade,மங்கல்
Transition speed,மாற்ற வேகம்
Autoplay,தானியங்கி இயக்கம்
Autoplay delay,தானியங்கி இயக்கத் தாமதம்
${seconds} s between slides,ஸ்லைடுகளுக்கு இடையே ${seconds} வி
Pause on hover,வட்டமிடும்போது இடைநிறுத்து
Pause for 20 s after user nav,பயனர் வழிசெலுத்தலுக்குப் பிறகு 20 வி இடைநிறுத்து
Arrows,அம்புக்குறிகள்
Aspect ratio,விகித விகிதாசாரம்
`Auto` matches the natural image height (jumps between slides).,`Auto` இயற்கையான படத்தின் உயரத்துடன் பொருந்துகிறது (ஸ்லைடுகளுக்கு இடையே தாவுகிறது).
Default content position,இயல்பு உள்ளடக்க நிலை
Per-slide overrides win.,ஒவ்வொரு ஸ்லைடின் மேலெழுதல்களே வெல்லும்.
Default overlay tint,இயல்பு மேற்படிவு சாயம்
Default overlay opacity,இயல்பு மேற்படிவு ஒளிபுகாமை
Slides (${count}),ஸ்லைடுகள் (${count})
No slides yet.,இன்னும் ஸ்லைடுகள் இல்லை.
Add your first slide,உங்கள் முதல் ஸ்லைடைச் சேர்
Slide ${number},ஸ்லைடு ${number}
Image only,படம் மட்டும்
Empty,காலி
Show slide,ஸ்லைடைக் காட்டு
Hide slide,ஸ்லைடை மறை
Move slide up,ஸ்லைடை மேலே நகர்த்து
Move slide down,ஸ்லைடை கீழே நகர்த்து
Delete slide,ஸ்லைடை நீக்கு
Top,மேலே
Cover,நிரப்பு
Contain,உள்ளடக்கு
Required for accessibility.,அணுகலுக்கு அவசியம்.
Image fit,படப் பொருத்தம்
"Small all-caps label. E.g. ""LIMITED EDITION"".","சிறிய பெரிய எழுத்து லேபிள். எ.கா. ""LIMITED EDITION""."
Limited edition,வரம்புக்குட்பட்ட பதிப்பு
One strong line,ஒரு வலுவான வரி
Two lines of supporting copy.,இரண்டு வரிகள் ஆதரவு உரை.
Image position,படத்தின் நிலை
Vertical alignment,செங்குத்து சீரமைப்பு
Aligns the copy panel content.,உரைப் பலகை உள்ளடக்கத்தைச் சீரமைக்கிறது.
Remove call to action,செயல் அழைப்பை அகற்று
Add a call to action,செயல் அழைப்பைச் சேர்
Custom CSS classes for the text block,உரைத் தொகுதிக்கான தனிப்பயன் CSS வகுப்புகள்
Add group,குழுவைச் சேர்
${label} · ${count} subs,${label} · ${count} துணைகள்
Parent label,பெற்றோர் லேபிள்
Parent link,பெற்றோர் இணைப்பு
Image alt text,படத்தின் மாற்று உரை
Sub-categories,துணை வகைகள்
"Min 1, max 8.","குறைந்தபட்சம் 1, அதிகபட்சம் 8."
Add sub-category,துணை வகையைச் சேர்
Dresses,ஆடைகள்
Columns (desktop),நெடுவரிசைகள் (டெஸ்க்டாப்)
On tablets the layout is always 2 columns.,டேப்லெட்டுகளில் அமைப்பு எப்போதும் 2 நெடுவரிசைகள்.
Make parent image a link,பெற்றோர் படத்தை ஒரு இணைப்பாக்கு
"When off, only the sub-chips and parent label are interactive.","அணைக்கப்பட்டால், துணைச் சில்லுகள் மற்றும் பெற்றோர் லேபிள் மட்டுமே ஊடாடக்கூடியவை."
Title,தலைப்பு
e.g. Free shipping,எ.கா. இலவச அனுப்புதல்
Optional supporting line below the title.,தலைப்புக்குக் கீழே விருப்ப ஆதரவு வரி.
Icon,ஐகான்
Optional. SVG or raster image. Hidden when icons are turned off globally.,விருப்பத்திற்குரியது. SVG அல்லது ராஸ்டர் படம். ஐகான்கள் முழுவதுமாக அணைக்கப்பட்டால் மறைக்கப்படும்.
Optional. Makes the whole cell clickable.,விருப்பத்திற்குரியது. முழு கட்டத்தையும் கிளிக் செய்யக்கூடியதாக்குகிறது.
"Auto matches the item count, capped at 4.","உருப்படிகளின் எண்ணிக்கையுடன் தானாகப் பொருந்துகிறது, அதிகபட்சம் 4."
3,3
4,4
Icon size,ஐகான் அளவு
Show icons,ஐகான்களைக் காட்டு
Master switch. Items without an icon URL are unaffected.,முதன்மை சுவிட்ச். ஐகான் URL இல்லாத உருப்படிகள் பாதிக்கப்படாது.
Show divider,பிரிப்பானைக் காட்டு
Vertical line between cells.,கட்டங்களுக்கு இடையே செங்குத்துக் கோடு.
Collection,தொகுப்பு
Search collections…,தொகுப்புகளைத் தேடு…
No collections match “${value}”.,“${value}” உடன் பொருந்தும் தொகுப்புகள் இல்லை.
You have no collections yet.,உங்களிடம் இன்னும் தொகுப்புகள் இல்லை.
Please select a collection,தயவுசெய்து ஒரு தொகுப்பைத் தேர்ந்தெடுக்கவும்
"Defaults to ""${name}"" (the collection's name).","இயல்பாக ""${name}"" (தொகுப்பின் பெயர்)."
Defaults to the picked collection's name.,இயல்பாக தேர்ந்தெடுக்கப்பட்ட தொகுப்பின் பெயர்.
Collection name,தொகுப்பின் பெயர்
Defaults to the collection's description. Setting this replaces the rich-text description with plain text.,இயல்பாக தொகுப்பின் விளக்கம். இதை அமைப்பது செழுமை-உரை விளக்கத்தை எளிய உரையால் மாற்றுகிறது.
e.g. Hand-picked styles for the season.,எ.கா. பருவத்திற்காக கைதேர்ந்த பாணிகள்.
View all link,அனைத்தையும் காண இணைப்பு
"Optional. Hidden when empty. Pick a category, product, page, or paste a custom URL.","விருப்பத்திற்குரியது. காலியாக இருக்கும்போது மறைக்கப்படும். ஒரு வகை, தயாரிப்பு, பக்கத்தைத் தேர்ந்தெடுக்கவும் அல்லது தனிப்பயன் URL ஐ ஒட்டவும்."
"Optional. Defaults to ""View all →"".","விருப்பத்திற்குரியது. இயல்பாக ""அனைத்தையும் காண →""."
View all →,அனைத்தையும் காண →
Total products,மொத்த தயாரிப்புகள்
Number of products to display.,காண்பிக்க வேண்டிய தயாரிப்புகளின் எண்ணிக்கை.
Products per row,வரிசைக்கு தயாரிப்புகள்
Grid columns (1–6 typical).,கட்ட நெடுவரிசைகள் (வழக்கமாக 1–6).
Count is required,எண்ணிக்கை தேவை
e.g. 8,எ.கா. 8
Count per row is required,வரிசைக்கான எண்ணிக்கை தேவை
e.g. 4,எ.கா. 4
Cover image,அட்டைப் படம்
COLLECTION,தொகுப்பு
"Defaults to ""${pickedName}"".","இயல்பாக ""${pickedName}""."
Defaults to the picked collection name.,இயல்பாக தேர்ந்தெடுக்கப்பட்ட தொகுப்பின் பெயர்.
Optional. One or two sentences of editorial copy.,விருப்பத்திற்குரியது. ஒன்று அல்லது இரண்டு வாக்கியங்கள் கட்டுரை உரை.
"Linen, cotton, easy stuff.","லினன், பருத்தி, எளிய பொருட்கள்."
Preview product count,முன்னோட்ட தயாரிப்பு எண்ணிக்கை
2 (1×2),2 (1×2)
4 (2×2),4 (2×2)
Please pick a collection,தயவுசெய்து ஒரு தொகுப்பைத் தேர்ந்தெடுக்கவும்
Add collection,தொகுப்பைச் சேர்
Row heading,வரிசைத் தலைப்பு
The Linen Edit,The Linen Edit
Optional. Hidden when empty.,விருப்பத்திற்குரியது. காலியாக இருக்கும்போது மறைக்கப்படும்.
View all label,அனைத்தையும் காண லேபிள்
Show price,விலையைக் காட்டு
Show divider between rows,வரிசைகளுக்கு இடையே பிரிப்பானைக் காட்டு
Selected:,தேர்ந்தெடுக்கப்பட்டது:
Image override,படம் மேலெழுதல்
Override image,படத்தை மேலெழுது
Override image (optional),படத்தை மேலெழுது (விருப்பத்திற்குரியது)
Leave empty to use the product's primary image.,தயாரிப்பின் முதன்மைப் படத்தைப் பயன்படுத்த காலியாக விடவும்.
Small label above the product name. Optional.,தயாரிப்பின் பெயருக்கு மேலே சிறிய லேபிள். விருப்பத்திற்குரியது.
FEATURED,சிறப்பிக்கப்பட்டது
Editorial copy,கட்டுரை உரை
Overrides the product's own description in this context. Leave blank to hide.,இந்தச் சூழலில் தயாரிப்பின் சொந்த விளக்கத்தை மேலெழுதுகிறது. மறைக்க காலியாக விடவும்.
Two lines of copy explaining why this product is being spotlighted right now.,இந்தத் தயாரிப்பு ஏன் இப்போது சிறப்பிக்கப்படுகிறது என்பதை விளக்கும் இரண்டு வரி உரை.
Please pick a product,தயவுசெய்து ஒரு தயாரிப்பைத் தேர்ந்தெடுக்கவும்
e.g. On orders over $50,எ.கா. $50 க்கு மேல் உள்ள ஆர்டர்களில்
Text block,உரைத் தொகுதி
Menu,மெனு
Footer menu,அடிக்குறிப்பு பட்டி
Banner,பேனர்
Simple Slideshow,எளிய படவில்லை காட்சி
Brand story,பிராண்ட் கதை
Category mosaic,வகை மொசைக்
Tiered categories,படிநிலை வகைகள்
Bento grid,பெண்டோ கட்டம்
Separator,பிரிப்பான்
Section,பிரிவு
Split feature,பிளவு அம்சம்
Announcement bar,அறிவிப்பு பட்டை
Coupon block,கூப்பன் தொகுதி
FAQ block,FAQ தொகுதி
Trust strip,நம்பிக்கை பட்டை
Collection products,தொகுப்பு தயாரிப்புகள்
Collection stack,தொகுப்பு அடுக்கு
Collection spotlight,தொகுப்பு சிறப்பு வெளிச்சம்
Product hero,தயாரிப்பு ஹீரோ
Layout container with 1–4 columns for nesting widgets.,விட்ஜெட்களை உள்ளமைக்க 1–4 நெடுவரிசைகளுடன் கூடிய தளவமைப்பு கொள்கலன்.
Add rich text content,வளமான உரை உள்ளடக்கத்தைச் சேர்க்கவும்
Navigation links,வழிசெலுத்தல் இணைப்புகள்
Multi-column list of footer links — a titled column of navigation links per group.,அடிக்குறிப்பு இணைப்புகளின் பல-நெடுவரிசை பட்டியல் — ஒவ்வொரு குழுவிற்கும் தலைப்புடன் கூடிய வழிசெலுத்தல் இணைப்புகளின் நெடுவரிசை.
A single hero image with optional overlay copy and CTAs.,விருப்ப மேலடுக்கு உரை மற்றும் CTAக்களுடன் கூடிய ஒற்றை ஹீரோ படம்.
Rotating image carousel,சுழலும் பட சுழற்சி
Editorial block combining an image and long-form brand narrative. Four layout variants.,படத்தையும் நீண்ட வடிவ பிராண்ட் விவரிப்பையும் இணைக்கும் தலையங்க தொகுதி. நான்கு தளவமைப்பு வகைகள்.
"A grid of 3–6 category tiles for the primary ""Shop by category"" entry point.","முதன்மை ""வகை வாரியாக வாங்கவும்"" நுழைவுப் புள்ளிக்கான 3–6 வகை ஓடுகளின் கட்டம்."
A two-level nav block: parent category image plus a row of sub-category chips.,இரு-நிலை வழிசெலுத்தல் தொகுதி: பெற்றோர் வகை படம் மற்றும் துணை-வகை சில்லுகளின் வரிசை.
An asymmetric mosaic of CTA tiles — one large hero plus 1–4 supporting tiles.,CTA ஓடுகளின் சமச்சீரற்ற மொசைக் — ஒரு பெரிய ஹீரோ மற்றும் 1–4 துணை ஓடுகள்.
"Vertical spacing between widgets, with an optional divider line. Mobile scales down automatically.","விட்ஜெட்களுக்கு இடையே செங்குத்து இடைவெளி, விருப்ப பிரிப்பு கோட்டுடன். மொபைல் தானாகவே சிறிதாகிறது."
