Welcome Back!,Καλώς ήρθατε ξανά!
Call to actions,Παροτρύνσεις για δράση
Remove primary CTA,Αφαίρεση κύριου CTA
+ Add a primary CTA,+ Προσθήκη κύριου CTA
Secondary,Δευτερεύον
Remove secondary CTA,Αφαίρεση δευτερεύοντος CTA
Learn more,Μάθετε περισσότερα
+ Add a secondary CTA,+ Προσθήκη δευτερεύοντος CTA
Details,Λεπτομέρειες
Alt text,Εναλλακτικό κείμενο
Describes the banner for screen readers and SEO.,Περιγράφει το banner για αναγνώστες οθόνης και SEO.
"e.g. ""Summer sale promotional banner""","π.χ. ""Διαφημιστικό banner καλοκαιρινών εκπτώσεων"""
Banner link,Σύνδεσμος banner
Optional. Clicking the banner navigates here.,Προαιρετικό. Το κλικ στο banner οδηγεί εδώ.
Display name,Εμφανιζόμενο όνομα
Shop,Κατάστημα
Target,Προορισμός
"Page, category, product, or a custom URL.","Σελίδα, κατηγορία, προϊόν ή προσαρμοσμένο URL."
Nofollow,Nofollow
SEO: don't pass ranking credit to this link (rel=nofollow).,SEO: μην μεταβιβάζετε αξία κατάταξης σε αυτόν τον σύνδεσμο (rel=nofollow).
No referrer,Χωρίς referrer
Privacy: drop the referring URL (rel=noreferrer). New-tab links always include this.,Απόρρητο: απόκρυψη του URL προέλευσης (rel=noreferrer). Οι σύνδεσμοι σε νέα καρτέλα το περιλαμβάνουν πάντα.
Menu items,Στοιχεία μενού
Add menu item,Προσθήκη στοιχείου μενού
Sub-items,Υπο-στοιχεία
Optional dropdown links (1 level).,Προαιρετικοί σύνδεσμοι αναπτυσσόμενου μενού (1 επίπεδο).
Add sub-item,Προσθήκη υπο-στοιχείου
Options,Επιλογές
Use as main menu,Χρήση ως κύριο μενού
"Primary navigation — on mobile it collapses into a hamburger menu. Turn off for a simple link list (e.g. a footer), which stays inline on mobile.","Κύρια πλοήγηση — σε κινητά συμπτύσσεται σε μενού hamburger. Απενεργοποιήστε το για μια απλή λίστα συνδέσμων (π.χ. υποσέλιδο), που παραμένει inline σε κινητά."
Custom CSS classes,Προσαρμοσμένες κλάσεις CSS
Applied to the rendered menu element.,Εφαρμόζεται στο εμφανιζόμενο στοιχείο μενού.
e.g. main-nav font-semibold,π.χ. main-nav font-semibold
S,S
M,M
L,L
Tiles,Πλακίδια
Add tile,Προσθήκη πλακιδίου
Hero · ,Hero · 
Used when no image is set.,Χρησιμοποιείται όταν δεν έχει οριστεί εικόνα.
Small label above the heading.,Μικρή ετικέτα πάνω από τον τίτλο.
THE SUMMER EDIT,THE SUMMER EDIT
New Arrivals,Νέες παραλαβές
Body,Κείμενο
Big card — the headline of the grid.,Μεγάλη κάρτα — ο επικεφαλής τίτλος του πλέγματος.
Link URL,URL συνδέσμου
Gap,Κενό
Minimum block height,Ελάχιστο ύψος μπλοκ
Image left,Εικόνα αριστερά
Image right,Εικόνα δεξιά
Centered,Κεντραρισμένο
Pull quote,Επισημασμένο απόσπασμα
Variant,Παραλλαγή
Image column size,Μέγεθος στήλης εικόνας
Describe the image,Περιγράψτε την εικόνα
Copy,Κείμενο
"Small all-caps label. E.g. ""OUR STORY"".","Μικρή ετικέτα με κεφαλαία. Π.χ. ""OUR STORY""."
Our story,Η ιστορία μας
"Made by hand, in small batches","Φτιαγμένο στο χέρι, σε μικρές παρτίδες"
"Required for the pull-quote variant. Displayed large, styled as a blockquote.","Απαιτείται για την παραλλαγή επισημασμένου αποσπάσματος. Εμφανίζεται μεγάλο, με μορφή blockquote."
"A short, quotable line.","Μια σύντομη, αξιομνημόνευτη φράση."
Three or four sentences of brand narrative.,Τρεις ή τέσσερις προτάσεις αφήγησης της μάρκας.
Second body paragraph (optional),Δεύτερη παράγραφος κειμένου (προαιρετική)
A second short paragraph if the story needs it.,Μια δεύτερη σύντομη παράγραφος αν το χρειάζεται η ιστορία.
Read more link,"Σύνδεσμος ""Διαβάστε περισσότερα"""
Read more,Διαβάστε περισσότερα
URL,URL
Remove read-more link,"Αφαίρεση συνδέσμου ""Διαβάστε περισσότερα"""
+ Add a read-more link,"+ Προσθήκη συνδέσμου ""Διαβάστε περισσότερα"""
Square,Τετράγωνο
Landscape,Οριζόντιο
Portrait,Κατακόρυφο
Overlay,Επικάλυψη
Below,Κάτω
New category,Νέα κατηγορία
Section heading,Τίτλος ενότητας
Optional. Shown above the grid.,Προαιρετικό. Εμφανίζεται πάνω από το πλέγμα.
Shop by category,Αγορά ανά κατηγορία
Women,Γυναικεία
Columns,Στήλες
Auto,Αυτόματο
Asymmetric makes the first tile span 2 columns.,Το ασύμμετρο κάνει το πρώτο πλακίδιο να καταλαμβάνει 2 στήλες.
Uniform,Ομοιόμορφο
Asymmetric,Ασύμμετρο
Image aspect,Αναλογία εικόνας
Label position,Θέση ετικέτας
Blush,Ροζ
XL,XL
Position ${c},Θέση ${c}
Column layout,Διάταξη στηλών
Drag widgets into each column. Children re-flow when you change the ratio.,Σύρετε widgets σε κάθε στήλη. Τα θυγατρικά στοιχεία αναδιατάσσονται όταν αλλάζετε την αναλογία.
Space between columns.,Κενό μεταξύ στηλών.
Where content sits within each column. Applied uniformly to every column.,Πού τοποθετείται το περιεχόμενο μέσα σε κάθε στήλη. Εφαρμόζεται ομοιόμορφα σε κάθε στήλη.
Row appearance,Εμφάνιση γραμμής
Background,Φόντο
Custom color,Προσαρμοσμένο χρώμα
"Any CSS color (e.g. ""#0a0a0a"" or ""rgb(10,10,10)""). Leave empty to use the swatch above.","Οποιοδήποτε χρώμα CSS (π.χ. ""#0a0a0a"" ή ""rgb(10,10,10)""). Αφήστε το κενό για να χρησιμοποιήσετε το δείγμα παραπάνω."
Padding,Εσωτερικό περιθώριο
Outer spacing around the row. Scales down on mobile.,Εξωτερικό περιθώριο γύρω από τη γραμμή. Μειώνεται σε κινητά.
Solid,Συμπαγές
Dashed,Διακεκομμένο
Already expired,Έχει ήδη λήξει
Expires in ${days}d ${hours}h,Λήγει σε ${days}η ${hours}ώ
Expires in ${hours}h ${minutes}m,Λήγει σε ${hours}ώ ${minutes}λ
Offer,Προσφορά
"Urgency line. Optional. E.g. ""Limited · Ends Sunday"".","Γραμμή επείγοντος. Προαιρετική. Π.χ. ""Limited · Ends Sunday""."
Limited · Ends Sunday,Περιορισμένο · Λήγει Κυριακή
Headline,Επικεφαλίδα
Take 20% off your order,Κερδίστε 20% έκπτωση στην παραγγελία σας
Optional. One short instructional line.,Προαιρετικό. Μία σύντομη οδηγία.
Use code at checkout,Χρησιμοποιήστε τον κωδικό στην ολοκλήρωση παραγγελίας
Promo code,Κωδικός προσφοράς
Displayed in uppercase to shoppers.,Εμφανίζεται με κεφαλαία στους αγοραστές.
Expires,Λήγει
Optional. The block auto-hides after this time for live visitors.,Προαιρετικό. Το μπλοκ αποκρύπτεται αυτόματα μετά από αυτόν τον χρόνο για τους ενεργούς επισκέπτες.
Call to action,Πρόσκληση για δράση
Button label,Ετικέτα κουμπιού
Shop now →,Αγοράστε τώρα →
Button link,Σύνδεσμος κουμπιού
Appearance,Εμφάνιση
Border,Περίγραμμα
Narrow,Στενό
Normal,Κανονικό
Wide,Πλατύ
Shown above all content. Optional.,Εμφανίζεται πάνω από όλο το περιεχόμενο. Προαιρετικό.
e.g. Frequently asked,π.χ. Συχνές ερωτήσεις
Prose,Κείμενο
FAQ group · ${count} items,Ομάδα FAQ · ${count} στοιχεία
Group heading,Τίτλος ομάδας
Optional sub-heading.,Προαιρετικός υπότιτλος.
e.g. Shipping,π.χ. Αποστολή
Add question,Προσθήκη ερώτησης
Question,Ερώτηση
e.g. How long does shipping take?,π.χ. Πόσο διαρκεί η αποστολή;
Answer,Απάντηση
"Supports **bold**, _italic_, and line breaks.","Υποστηρίζει **έντονα**, _πλάγια_ και αλλαγές γραμμής."
e.g. Orders ship within 24 hours…,π.χ. Οι παραγγελίες αποστέλλονται εντός 24 ωρών…
Add prose,Προσθήκη κειμένου
Add FAQ group,Προσθήκη ομάδας FAQ
Max width,Μέγιστο πλάτος
Content column width.,Πλάτος στήλης περιεχομένου.
Allow multiple open,Να επιτρέπονται πολλά ανοιχτά
"When off, opening one FAQ item closes the others in the same group.","Όταν είναι απενεργοποιημένο, το άνοιγμα ενός στοιχείου FAQ κλείνει τα υπόλοιπα στην ίδια ομάδα."
New link,Νέος σύνδεσμος
New column,Νέα στήλη
Add column,Προσθήκη στήλης
${title} · ${count} links,${title} · ${count} σύνδεσμοι
Column title,Τίτλος στήλης
Links,Σύνδεσμοι
"Min 1, max 12.","Ελάχιστο 1, μέγιστο 12."
Add link,Προσθήκη συνδέσμου
New arrivals,Νέες παραλαβές
Boxed,Σε πλαίσιο
Wide (full bleed),Πλατύ (πλήρους πλάτους)
Boxed stays inside the page's container (theme decides the max-width). Wide breaks out edge-to-edge.,"Το ""Σε πλαίσιο"" παραμένει μέσα στο container της σελίδας (το θέμα καθορίζει το μέγιστο πλάτος). Το ""Πλατύ"" εκτείνεται από άκρη σε άκρη."
Scales down on mobile.,Μειώνεται σε κινητά.
Optional. Painted behind content. Combine with a tint below for legibility.,Προαιρετικό. Τοποθετείται πίσω από το περιεχόμενο. Συνδυάστε με μια απόχρωση παρακάτω για ευαναγνωσιμότητα.
XS,XS
Spacing,Απόσταση
Size,Μέγεθος
Mobile scales down ~⅔ automatically.,Σε κινητά μειώνεται αυτόματα κατά ~⅔.
Divider line,Διαχωριστική γραμμή
Show divider line,Εμφάνιση διαχωριστικής γραμμής
A horizontal rule centred in the spacing band.,Μια οριζόντια γραμμή κεντραρισμένη στη ζώνη απόστασης.
Line color,Χρώμα γραμμής
Default uses the theme's divider color.,Η προεπιλογή χρησιμοποιεί το χρώμα διαχωριστικού του θέματος.
Sides,Πλευρές
Bottom,Κάτω
Dots,Κουκκίδες
Bars,Μπάρες
Mobile image (optional),Εικόνα κινητού (προαιρετικό)
Used at ≤ 767 px. Falls back to the main image.,Χρησιμοποιείται σε ≤ 767 px. Επανέρχεται στην κύρια εικόνα.
e.g. New collection,π.χ. Νέα συλλογή
e.g. Summer Sale,π.χ. Καλοκαιρινές εκπτώσεις
Sub text,Δευτερεύον κείμενο
Check out our latest products with special discounts.,Δείτε τα τελευταία μας προϊόντα με ειδικές εκπτώσεις.
Primary button,Κύριο κουμπί
Secondary button,Δευτερεύον κουμπί
+ Add secondary button,+ Προσθήκη δευτερεύοντος κουμπιού
Overrides,Παρακάμψεις
Leaves slide-specific anchor; falls back to the slideshow's default.,Αφήνει την αγκύρωση συγκεκριμένης διαφάνειας· επανέρχεται στην προεπιλογή της παρουσίασης.
Overlay tint,Απόχρωση επικάλυψης
Overlay opacity,Αδιαφάνεια επικάλυψης
Make whole slide clickable,Κάντε όλη τη διαφάνεια κλικαρίσιμη
Behavior,Συμπεριφορά
Transition,Μετάβαση
Slide,Διαφάνεια
Fade,Σβήσιμο
Transition speed,Ταχύτητα μετάβασης
Autoplay,Αυτόματη αναπαραγωγή
Autoplay delay,Καθυστέρηση αυτόματης αναπαραγωγής
${seconds} s between slides,${seconds} δ μεταξύ διαφανειών
Pause on hover,Παύση κατά την αιώρηση
Pause for 20 s after user nav,Παύση για 20 δ μετά την πλοήγηση χρήστη
Arrows,Βέλη
Aspect ratio,Αναλογία διαστάσεων
`Auto` matches the natural image height (jumps between slides).,Το `Auto` ταιριάζει με το φυσικό ύψος της εικόνας (αναπηδά μεταξύ διαφανειών).
Default content position,Προεπιλεγμένη θέση περιεχομένου
Per-slide overrides win.,Οι παρακάμψεις ανά διαφάνεια υπερισχύουν.
Default overlay tint,Προεπιλεγμένη απόχρωση επικάλυψης
Default overlay opacity,Προεπιλεγμένη αδιαφάνεια επικάλυψης
Slides (${count}),Διαφάνειες (${count})
No slides yet.,Δεν υπάρχουν διαφάνειες ακόμη.
Add your first slide,Προσθέστε την πρώτη σας διαφάνεια
Slide ${number},Διαφάνεια ${number}
Image only,Μόνο εικόνα
Empty,Κενό
Show slide,Εμφάνιση διαφάνειας
Hide slide,Απόκρυψη διαφάνειας
Move slide up,Μετακίνηση διαφάνειας πάνω
Move slide down,Μετακίνηση διαφάνειας κάτω
Delete slide,Διαγραφή διαφάνειας
Top,Πάνω
Cover,Κάλυψη
Contain,Προσαρμογή
Required for accessibility.,Απαιτείται για την προσβασιμότητα.
Image fit,Προσαρμογή εικόνας
"Small all-caps label. E.g. ""LIMITED EDITION"".","Μικρή ετικέτα με κεφαλαία. Π.χ. ""LIMITED EDITION""."
Limited edition,Περιορισμένη έκδοση
One strong line,Μία δυνατή γραμμή
Two lines of supporting copy.,Δύο γραμμές υποστηρικτικού κειμένου.
Image position,Θέση εικόνας
Vertical alignment,Κατακόρυφη στοίχιση
Aligns the copy panel content.,Στοιχίζει το περιεχόμενο του πίνακα κειμένου.
Remove call to action,Αφαίρεση κάλεσμα για δράση
Add a call to action,Προσθήκη κάλεσμα για δράση
Custom CSS classes for the text block,Προσαρμοσμένες κλάσεις CSS για το μπλοκ κειμένου
Add group,Προσθήκη ομάδας
${label} · ${count} subs,${label} · ${count} υπο
Parent label,Ετικέτα γονέα
Parent link,Σύνδεσμος γονέα
Image alt text,Εναλλακτικό κείμενο εικόνας
Sub-categories,Υποκατηγορίες
"Min 1, max 8.","Ελάχιστο 1, μέγιστο 8."
Add sub-category,Προσθήκη υποκατηγορίας
Dresses,Φορέματα
Columns (desktop),Στήλες (επιτραπέζιο)
On tablets the layout is always 2 columns.,Στα tablet η διάταξη είναι πάντα 2 στήλες.
Make parent image a link,Κάντε την εικόνα γονέα σύνδεσμο
"When off, only the sub-chips and parent label are interactive.","Όταν είναι ανενεργό, μόνο τα υπο-chips και η ετικέτα γονέα είναι διαδραστικά."
Title,Τίτλος
e.g. Free shipping,π.χ. Δωρεάν αποστολή
Optional supporting line below the title.,Προαιρετική υποστηρικτική γραμμή κάτω από τον τίτλο.
Icon,Εικονίδιο
Optional. SVG or raster image. Hidden when icons are turned off globally.,Προαιρετικό. Εικόνα SVG ή raster. Κρύβεται όταν τα εικονίδια απενεργοποιούνται καθολικά.
Optional. Makes the whole cell clickable.,Προαιρετικό. Κάνει ολόκληρο το κελί κλικαρίσιμο.
"Auto matches the item count, capped at 4.","Το Auto ταιριάζει με το πλήθος στοιχείων, με όριο τα 4."
3,3
4,4
Icon size,Μέγεθος εικονιδίου
Show icons,Εμφάνιση εικονιδίων
Master switch. Items without an icon URL are unaffected.,Κεντρικός διακόπτης. Τα στοιχεία χωρίς URL εικονιδίου δεν επηρεάζονται.
Show divider,Εμφάνιση διαχωριστικού
Vertical line between cells.,Κατακόρυφη γραμμή μεταξύ κελιών.
Collection,Συλλογή
Search collections…,Αναζήτηση συλλογών…
No collections match “${value}”.,Καμία συλλογή δεν ταιριάζει με “${value}”.
You have no collections yet.,Δεν έχετε συλλογές ακόμη.
Please select a collection,Παρακαλώ επιλέξτε μια συλλογή
"Defaults to ""${name}"" (the collection's name).","Προεπιλογή ""${name}"" (το όνομα της συλλογής)."
Defaults to the picked collection's name.,Προεπιλογή το όνομα της επιλεγμένης συλλογής.
Collection name,Όνομα συλλογής
Defaults to the collection's description. Setting this replaces the rich-text description with plain text.,Προεπιλογή η περιγραφή της συλλογής. Ορίζοντάς το αντικαθιστά την περιγραφή εμπλουτισμένου κειμένου με απλό κείμενο.
e.g. Hand-picked styles for the season.,π.χ. Επιλεγμένα στυλ για τη σεζόν.
View all link,Σύνδεσμος προβολής όλων
"Optional. Hidden when empty. Pick a category, product, page, or paste a custom URL.","Προαιρετικό. Κρύβεται όταν είναι κενό. Επιλέξτε κατηγορία, προϊόν, σελίδα ή επικολλήστε ένα προσαρμοσμένο URL."
"Optional. Defaults to ""View all →"".","Προαιρετικό. Προεπιλογή ""Προβολή όλων →""."
View all →,Προβολή όλων →
Total products,Σύνολο προϊόντων
Number of products to display.,Αριθμός προϊόντων προς εμφάνιση.
Products per row,Προϊόντα ανά σειρά
Grid columns (1–6 typical).,Στήλες πλέγματος (1–6 τυπικά).
Count is required,Το πλήθος απαιτείται
e.g. 8,π.χ. 8
Count per row is required,Το πλήθος ανά σειρά απαιτείται
e.g. 4,π.χ. 4
Cover image,Εικόνα εξωφύλλου
COLLECTION,ΣΥΛΛΟΓΗ
"Defaults to ""${pickedName}"".","Προεπιλογή ""${pickedName}""."
Defaults to the picked collection name.,Προεπιλογή το όνομα της επιλεγμένης συλλογής.
Optional. One or two sentences of editorial copy.,Προαιρετικό. Μία ή δύο προτάσεις συντακτικού κειμένου.
"Linen, cotton, easy stuff.","Λινό, βαμβάκι, άνετα ρούχα."
Preview product count,Πλήθος προϊόντων προεπισκόπησης
2 (1×2),2 (1×2)
4 (2×2),4 (2×2)
Please pick a collection,Παρακαλώ επιλέξτε μια συλλογή
Add collection,Προσθήκη συλλογής
Row heading,Επικεφαλίδα σειράς
The Linen Edit,The Linen Edit
Optional. Hidden when empty.,Προαιρετικό. Κρύβεται όταν είναι κενό.
View all label,Ετικέτα προβολής όλων
Show price,Εμφάνιση τιμής
Show divider between rows,Εμφάνιση διαχωριστικού μεταξύ σειρών
Selected:,Επιλεγμένο:
Image override,Παράκαμψη εικόνας
Override image,Παράκαμψη εικόνας
Override image (optional),Παράκαμψη εικόνας (προαιρετικό)
Leave empty to use the product's primary image.,Αφήστε κενό για να χρησιμοποιηθεί η κύρια εικόνα του προϊόντος.
Small label above the product name. Optional.,Μικρή ετικέτα πάνω από το όνομα του προϊόντος. Προαιρετικό.
FEATURED,ΠΡΟΒΕΒΛΗΜΕΝΟ
Editorial copy,Συντακτικό κείμενο
Overrides the product's own description in this context. Leave blank to hide.,Παρακάμπτει την περιγραφή του ίδιου του προϊόντος σε αυτό το πλαίσιο. Αφήστε κενό για απόκρυψη.
Two lines of copy explaining why this product is being spotlighted right now.,Δύο γραμμές κειμένου που εξηγούν γιατί προβάλλεται αυτό το προϊόν αυτή τη στιγμή.
Please pick a product,Παρακαλώ επιλέξτε ένα προϊόν
e.g. On orders over $50,π.χ. Σε παραγγελίες άνω των $50
Text block,Μπλοκ κειμένου
Menu,Μενού
Footer menu,Μενού υποσέλιδου
Banner,Banner
Simple Slideshow,Απλή παρουσίαση
Brand story,Ιστορία μάρκας
Category mosaic,Ψηφιδωτό κατηγοριών
Tiered categories,Κλιμακωτές κατηγορίες
Bento grid,Πλέγμα bento
Separator,Διαχωριστικό
Section,Ενότητα
Split feature,Διαχωρισμένο χαρακτηριστικό
Announcement bar,Μπάρα ανακοινώσεων
Coupon block,Μπλοκ κουπονιού
FAQ block,Μπλοκ συχνών ερωτήσεων
Trust strip,Λωρίδα εμπιστοσύνης
Collection products,Προϊόντα συλλογής
Collection stack,Στοίβα συλλογών
Collection spotlight,Προβολή συλλογής
Product hero,Κεντρική προβολή προϊόντος
Layout container with 1–4 columns for nesting widgets.,Δοχείο διάταξης με 1–4 στήλες για ένθεση widget.
Add rich text content,Προσθήκη εμπλουτισμένου κειμένου
Navigation links,Σύνδεσμοι πλοήγησης
Multi-column list of footer links — a titled column of navigation links per group.,Λίστα συνδέσμων υποσέλιδου πολλαπλών στηλών — μια στήλη με τίτλο και συνδέσμους πλοήγησης ανά ομάδα.
A single hero image with optional overlay copy and CTAs.,Μία κεντρική εικόνα με προαιρετικό επικαλυπτόμενο κείμενο και CTA.
Rotating image carousel,Περιστρεφόμενο καρουζέλ εικόνων
Editorial block combining an image and long-form brand narrative. Four layout variants.,Συντακτικό μπλοκ που συνδυάζει μια εικόνα και εκτενή αφήγηση μάρκας. Τέσσερις παραλλαγές διάταξης.
"A grid of 3–6 category tiles for the primary ""Shop by category"" entry point.","Ένα πλέγμα από 3–6 πλακίδια κατηγοριών για το βασικό σημείο εισόδου ""Αγορά ανά κατηγορία""."
A two-level nav block: parent category image plus a row of sub-category chips.,Ένα μπλοκ πλοήγησης δύο επιπέδων: εικόνα γονικής κατηγορίας συν μια σειρά από chip υποκατηγοριών.
An asymmetric mosaic of CTA tiles — one large hero plus 1–4 supporting tiles.,Ένα ασύμμετρο ψηφιδωτό από πλακίδια CTA — ένα μεγάλο κεντρικό συν 1–4 υποστηρικτικά πλακίδια.
"Vertical spacing between widgets, with an optional divider line. Mobile scales down automatically.","Κατακόρυφη απόσταση μεταξύ widget, με προαιρετική γραμμή διαχωρισμού. Στο κινητό μειώνεται αυτόματα."
Styled droppable band that wraps other widgets. Toggle between wide (edge-to-edge) and boxed (theme container).,Διαμορφωμένη ζώνη απόθεσης που περικλείει άλλα widget. Εναλλαγή μεταξύ πλάτους (από άκρο σε άκρο) και πλαισίου (δοχείο θέματος).
A 50/50 image + copy promo block with optional CTA. The canonical promo moment widget.,Ένα προωθητικό μπλοκ 50/50 με εικόνα + κείμενο και προαιρετικό CTA. Το κατεξοχήν widget προωθητικής στιγμής.
A thin top-of-page bar with one or more rotating announcements.,Μια λεπτή μπάρα στην κορυφή της σελίδας με μία ή περισσότερες περιστρεφόμενες ανακοινώσεις.
A promo panel with a copyable discount code and CTA.,Ένας προωθητικός πίνακας με αντιγράψιμο κωδικό έκπτωσης και CTA.
Flexible content block mixing prose sections and accordion FAQ groups.,Ευέλικτο μπλοκ περιεχομένου που συνδυάζει ενότητες κειμένου και ομάδες συχνών ερωτήσεων σε ακορντεόν.
"A row of value-prop items (free shipping, easy returns, etc.) for below-the-hero or above-the-footer reinforcement.","Μια σειρά από στοιχεία πρότασης αξίας (δωρεάν αποστολή, εύκολες επιστροφές κ.λπ.) για ενίσχυση κάτω από την κεντρική προβολή ή πάνω από το υποσέλιδο."
A list of products from a collection,Μια λίστα προϊόντων από μια συλλογή
"Stacked rows of collections, each with a heading, view-all link, and a strip of products.","Στοιβαγμένες σειρές συλλογών, καθεμία με επικεφαλίδα, σύνδεσμο προβολής όλων και μια λωρίδα προϊόντων."
"A featured collection with cover image, editorial copy, and a small product preview grid.","Μια προβεβλημένη συλλογή με εικόνα εξωφύλλου, συντακτικό κείμενο και ένα μικρό πλέγμα προεπισκόπησης προϊόντων."
"A single-product spotlight — image, name, price, and a link to the full product page.","Προβολή ενός προϊόντος — εικόνα, όνομα, τιμή και σύνδεσμος προς την πλήρη σελίδα προϊόντος."
