Welcome Back!,Тавтай морилно уу!
Mobile scales down ~⅔ automatically.,Гар утсан дээр ~⅔ хэмжээгээр автоматаар багасна.
Divider line,Тусгаарлах зураас
Show divider line,Тусгаарлах зураас харуулах
A horizontal rule centred in the spacing band.,Зайн хэсгийн төвд байрлах хэвтээ зураас.
Line color,Зурасны өнгө
Default uses the theme's divider color.,Анхдагч байдлаар загварын тусгаарлах өнгийг ашиглана.
Sides,Талууд
Bottom,Доод
Dots,Цэгүүд
Bars,Баганууд
Mobile image (optional),Гар утасны зураг (заавал биш)
Used at ≤ 767 px. Falls back to the main image.,≤ 767 px-д ашиглана. Боломжгүй бол үндсэн зураг руу шилжинэ.
e.g. New collection,ж.нь Шинэ цуглуулга
e.g. Summer Sale,ж.нь Зуны хямдрал
Sub text,Дэд текст
Check out our latest products with special discounts.,Тусгай хямдралтай хамгийн сүүлийн бүтээгдэхүүнүүдийг үзээрэй.
Primary button,Үндсэн товч
Secondary button,Хоёрдогч товч
+ Add secondary button,+ Хоёрдогч товч нэмэх
Overrides,Дарж тохируулга
Leaves slide-specific anchor; falls back to the slideshow's default.,Слайдын тусгай байрлалыг үлдээнэ; боломжгүй бол слайд шоуны анхдагч руу шилжинэ.
Overlay tint,Давхаргын өнгө
Overlay opacity,Давхаргын тунгалаг байдал
Make whole slide clickable,Бүх слайдыг дарагдах боломжтой болгох
Behavior,Үйлдэл
Transition,Шилжилт
Slide,Слайд
Fade,Бүдгэрэлт
Transition speed,Шилжилтийн хурд
Autoplay,Автомат тоглуулах
Autoplay delay,Автомат тоглуулах хүлээлт
${seconds} s between slides,Слайд хооронд ${seconds} с
Pause on hover,Хулгана тавихад түр зогсоох
Pause for 20 s after user nav,Хэрэглэгч шилжсэний дараа 20 с түр зогсоох
Arrows,Сумнууд
Aspect ratio,Талбайн харьцаа
`Auto` matches the natural image height (jumps between slides).,`Auto` нь зургийн жинхэнэ өндөртэй тохирно (слайд хооронд үсэрнэ).
Default content position,Агуулгын анхдагч байрлал
Per-slide overrides win.,Слайд бүрийн дарж тохируулга давамгайлна.
Default overlay tint,Давхаргын анхдагч өнгө
Default overlay opacity,Давхаргын анхдагч тунгалаг байдал
Slides (${count}),Слайдууд (${count})
No slides yet.,Одоогоор слайд алга.
Add your first slide,Эхний слайдаа нэмэх
Slide ${number},Слайд ${number}
Image only,Зөвхөн зураг
Empty,Хоосон
Show slide,Слайд харуулах
Hide slide,Слайд нуух
Move slide up,Слайдыг дээш зөөх
Move slide down,Слайдыг доош зөөх
Delete slide,Слайд устгах
Top,Дээд
Cover,Бүтэн дүүргэх
Contain,Багтаах
Required for accessibility.,Хүртээмжийн төлөө шаардлагатай.
Image fit,Зургийн тохируулга
"Small all-caps label. E.g. ""LIMITED EDITION"".","Жижиг том үсгийн шошго. Ж.нь ""ХЯЗГААРЛАГДМАЛ ХЭВЛЭЛ""."
Limited edition,Хязгаарлагдмал хэвлэл
One strong line,Нэг хүчтэй мөр
Two lines of supporting copy.,Хоёр мөр туслах текст.
Image position,Зургийн байрлал
Vertical alignment,Босоо тэгшлэлт
Aligns the copy panel content.,Текстийн самбарын агуулгыг тэгшилнэ.
Remove call to action,Уриалга арилгах
Add a call to action,Уриалга нэмэх
Custom CSS classes for the text block,Текст блокийн тусгай CSS ангиуд
Add group,Бүлэг нэмэх
${label} · ${count} subs,${label} · ${count} дэд
Parent label,Эцэг шошго
Parent link,Эцэг холбоос
Image alt text,Зургийн alt текст
Sub-categories,Дэд ангилал
"Min 1, max 8.","Хамгийн бага 1, хамгийн их 8."
Add sub-category,Дэд ангилал нэмэх
Dresses,Даашинз
Columns (desktop),Багана (десктоп)
On tablets the layout is always 2 columns.,Таблет дээр зохион байгуулалт үргэлж 2 баганатай байна.
Make parent image a link,Эцэг зургийг холбоос болгох
"When off, only the sub-chips and parent label are interactive.",Унтраалттай үед зөвхөн дэд шошго болон эцэг шошго идэвхтэй байна.
Title,Гарчиг
e.g. Free shipping,ж.нь Үнэгүй хүргэлт
Optional supporting line below the title.,Гарчгийн доорх заавал биш туслах мөр.
Icon,Дүрс тэмдэг
Optional. SVG or raster image. Hidden when icons are turned off globally.,Заавал биш. SVG эсвэл растер зураг. Дүрс тэмдгийг бүхэлд нь унтраахад нуугдана.
Optional. Makes the whole cell clickable.,Заавал биш. Бүх нүдийг дарагдах боломжтой болгоно.
"Auto matches the item count, capped at 4.",Auto нь зүйлийн тоотой тохирох ба дээд тал нь 4.
3,3
4,4
Icon size,Дүрс тэмдгийн хэмжээ
Show icons,Дүрс тэмдэг харуулах
Master switch. Items without an icon URL are unaffected.,Үндсэн унтраалга. Дүрс тэмдгийн URL-гүй зүйлсэд нөлөөлөхгүй.
Show divider,Тусгаарлагч харуулах
Vertical line between cells.,Нүднүүдийн хоорондох босоо зураас.
Collection,Цуглуулга
Search collections…,Цуглуулга хайх…
No collections match “${value}”.,“${value}”-д тохирох цуглуулга алга.
You have no collections yet.,Танд одоогоор цуглуулга алга.
Please select a collection,Цуглуулга сонгоно уу
"Defaults to ""${name}"" (the collection's name).","Анхдагчаар ""${name}"" (цуглуулгын нэр)."
Defaults to the picked collection's name.,Анхдагчаар сонгосон цуглуулгын нэр.
Collection name,Цуглуулгын нэр
Defaults to the collection's description. Setting this replaces the rich-text description with plain text.,Анхдагчаар цуглуулгын тайлбар. Үүнийг тохируулбал баялаг текст тайлбарыг энгийн текстээр солино.
e.g. Hand-picked styles for the season.,ж.нь Улирлын сонгосон загварууд.
View all link,Бүгдийг харах холбоос
"Optional. Hidden when empty. Pick a category, product, page, or paste a custom URL.","Заавал биш. Хоосон үед нуугдана. Ангилал, бүтээгдэхүүн, хуудас сонгох эсвэл тусгай URL буулгана уу."
"Optional. Defaults to ""View all →"".","Заавал биш. Анхдагчаар ""Бүгдийг харах →""."
View all →,Бүгдийг харах →
Total products,Нийт бүтээгдэхүүн
Number of products to display.,Харуулах бүтээгдэхүүний тоо.
Products per row,Мөр бүрийн бүтээгдэхүүн
Grid columns (1–6 typical).,Тороор багана (ердийн 1–6).
Count is required,Тоо шаардлагатай
e.g. 8,ж.нь 8
Count per row is required,Мөр бүрийн тоо шаардлагатай
e.g. 4,ж.нь 4
Cover image,Нүүр зураг
COLLECTION,ЦУГЛУУЛГА
"Defaults to ""${pickedName}"".","Анхдагчаар ""${pickedName}""."
Defaults to the picked collection name.,Анхдагчаар сонгосон цуглуулгын нэр.
Optional. One or two sentences of editorial copy.,Заавал биш. Нэг буюу хоёр өгүүлбэр редакцийн текст.
"Linen, cotton, easy stuff.","Маалинга, хөвөн, энгийн зүйлс."
Preview product count,Урьдчилан харах бүтээгдэхүүний тоо
2 (1×2),2 (1×2)
4 (2×2),4 (2×2)
Please pick a collection,Цуглуулга сонгоно уу
Add collection,Цуглуулга нэмэх
Row heading,Мөрийн гарчиг
The Linen Edit,The Linen Edit
Optional. Hidden when empty.,Заавал биш. Хоосон үед нуугдана.
View all label,Бүгдийг харах шошго
Show price,Үнэ харуулах
Show divider between rows,Мөр хооронд тусгаарлагч харуулах
Selected:,Сонгосон:
Image override,Зураг дарж тохируулах
Override image,Зураг дарж тохируулах
Override image (optional),Зураг дарж тохируулах (заавал биш)
Leave empty to use the product's primary image.,Бүтээгдэхүүний үндсэн зургийг ашиглахын тулд хоосон үлдээнэ үү.
Small label above the product name. Optional.,Бүтээгдэхүүний нэрний дээрх жижиг шошго. Заавал биш.
FEATURED,ОНЦЛОХ
Editorial copy,Редакцийн текст
Overrides the product's own description in this context. Leave blank to hide.,Энэ нөхцөлд бүтээгдэхүүний өөрийн тайлбарыг дарж тохируулна. Нуухын тулд хоосон үлдээнэ үү.
Two lines of copy explaining why this product is being spotlighted right now.,Энэ бүтээгдэхүүн яагаад одоо онцлогдож байгааг тайлбарласан хоёр мөр текст.
Please pick a product,Бүтээгдэхүүн сонгоно уу
e.g. On orders over $50,ж.нь $50-аас дээш захиалгад
Text block,Текст блок
Menu,Цэс
Footer menu,Хөлийн цэс
Banner,Баннер
Simple Slideshow,Энгийн слайд шоу
Brand story,Брэндийн түүх
Category mosaic,Ангиллын мозайк
Tiered categories,Шатлсан ангилал
Bento grid,Бэнто тор
Separator,Тусгаарлагч
Section,Хэсэг
Split feature,Хуваагдсан онцлог
Announcement bar,Зарлалын мөр
Coupon block,Купоны блок
FAQ block,FAQ блок
Trust strip,Итгэлийн зурвас
Collection products,Цуглуулгын бүтээгдэхүүн
Collection stack,Цуглуулгын овоолго
Collection spotlight,Цуглуулгын онцлол
Product hero,Бүтээгдэхүүний гол баннер
Layout container with 1–4 columns for nesting widgets.,Виджет үүрлэхэд зориулсан 1–4 баганатай байршлын сав.
Add rich text content,Баялаг текст агуулга нэмэх
Navigation links,Навигацийн холбоосууд
Multi-column list of footer links — a titled column of navigation links per group.,Хөлийн холбоосуудын олон баганат жагсаалт — бүлэг тус бүрд гарчигтай навигацийн холбоосын багана.
A single hero image with optional overlay copy and CTAs.,Сонголтоор давхар бичвэр болон CTA-тай нэг гол баннер зураг.
Rotating image carousel,Эргэлддэг зургийн карусель
Editorial block combining an image and long-form brand narrative. Four layout variants.,Зураг болон урт хэлбэрийн брэндийн өгүүлэмжийг хослуулсан редакцийн блок. Дөрвөн байршлын хувилбар.
"A grid of 3–6 category tiles for the primary ""Shop by category"" entry point.","Үндсэн ""Ангиллаар худалдан авах"" оруулах цэгт зориулсан 3–6 ангиллын хавтангийн тор."
A two-level nav block: parent category image plus a row of sub-category chips.,Хоёр түвшний навигацийн блок: эх ангиллын зураг дээр дэд ангиллын чипүүдийн эгнээ.
An asymmetric mosaic of CTA tiles — one large hero plus 1–4 supporting tiles.,CTA хавтангуудын тэгш бус мозайк — нэг том гол хавтан дээр 1–4 туслах хавтан.
"Vertical spacing between widgets, with an optional divider line. Mobile scales down automatically.","Виджетуудын хоорондох босоо зай, сонголтоор хуваагч шугамтай. Мобайл дээр автоматаар жижигрэнэ."
Styled droppable band that wraps other widgets. Toggle between wide (edge-to-edge) and boxed (theme container).,Бусад виджетийг багтаах хэв маягтай орхих боломжтой зурвас. Өргөн (ирмэгээс ирмэг) болон хайрцагласан (загварын сав) хооронд сэлгэх.
A 50/50 image + copy promo block with optional CTA. The canonical promo moment widget.,Сонголтоор CTA-тай 50/50 зураг + бичвэр сурталчилгааны блок. Сурталчилгааны мөчийн каноник виджет.
A thin top-of-page bar with one or more rotating announcements.,Нэг буюу хэд хэдэн эргэлддэг зарлалтай хуудасны дээд талын нимгэн мөр.
A promo panel with a copyable discount code and CTA.,Хуулж болох хямдралын код болон CTA-тай сурталчилгааны самбар.
Flexible content block mixing prose sections and accordion FAQ groups.,Бичвэрийн хэсгүүд болон аккордеон FAQ бүлгүүдийг хослуулсан уян хатан агуулгын блок.
"A row of value-prop items (free shipping, easy returns, etc.) for below-the-hero or above-the-footer reinforcement.","Гол баннерын доор эсвэл хөлийн дээр баталгаажуулахад зориулсан үнэ цэнийн саналын элементүүдийн эгнээ (үнэгүй хүргэлт, хялбар буцаалт гэх мэт)."
A list of products from a collection,Цуглуулгын бүтээгдэхүүний жагсаалт
"Stacked rows of collections, each with a heading, view-all link, and a strip of products.","Гарчиг, бүгдийг үзэх холбоос болон бүтээгдэхүүний зурвас бүхий цуглуулгуудын овоолсон эгнээнүүд."
"A featured collection with cover image, editorial copy, and a small product preview grid.","Нүүр зураг, редакцийн бичвэр болон бүтээгдэхүүний жижиг урьдчилан үзэх тор бүхий онцлох цуглуулга."
"A single-product spotlight — image, name, price, and a link to the full product page.","Нэг бүтээгдэхүүний онцлол — зураг, нэр, үнэ болон бүтээгдэхүүний бүрэн хуудас руу холбоос."
