Welcome Back!,फेरि स्वागत छ!
Tint,टिन्ट
A scrim behind the overlay text for legibility. Dark / gradient flip the text to white automatically.,पठनीयताका लागि ओभरले पाठपछाडिको स्क्रिम। गाढा / ग्रेडियन्टले पाठलाई स्वतः सेतोमा बदल्छ।
Tint opacity,टिन्ट अपारदर्शिता
Call to actions,कार्य आह्वानहरू
Remove primary CTA,प्राथमिक CTA हटाउनुहोस्
+ Add a primary CTA,+ प्राथमिक CTA थप्नुहोस्
Secondary,माध्यमिक
Remove secondary CTA,माध्यमिक CTA हटाउनुहोस्
Learn more,थप जान्नुहोस्
+ Add a secondary CTA,+ माध्यमिक CTA थप्नुहोस्
Details,विवरणहरू
Alt text,वैकल्पिक पाठ
Describes the banner for screen readers and SEO.,स्क्रिन रिडर र SEO का लागि ब्यानरको वर्णन गर्छ।
"e.g. ""Summer sale promotional banner""","जस्तै ""ग्रीष्म छुट प्रवर्द्धन ब्यानर"""
Banner link,ब्यानर लिङ्क
Optional. Clicking the banner navigates here.,वैकल्पिक। ब्यानरमा क्लिक गर्दा यहाँ जान्छ।
Display name,प्रदर्शन नाम
Shop,पसल
Target,लक्ष्य
"Page, category, product, or a custom URL.","पृष्ठ, श्रेणी, उत्पादन, वा कस्टम URL।"
Nofollow,Nofollow
SEO: don't pass ranking credit to this link (rel=nofollow).,SEO: यो लिङ्कलाई र्‍याङ्किङ क्रेडिट नदिनुहोस् (rel=nofollow)।
No referrer,कुनै रेफरर छैन
Privacy: drop the referring URL (rel=noreferrer). New-tab links always include this.,गोपनीयता: रेफर गर्ने URL हटाउनुहोस् (rel=noreferrer)। नयाँ-ट्याब लिङ्कहरूमा यो सधैँ समावेश हुन्छ।
Menu items,मेनु वस्तुहरू
Add menu item,मेनु वस्तु थप्नुहोस्
Sub-items,उप-वस्तुहरू
Optional dropdown links (1 level).,वैकल्पिक ड्रपडाउन लिङ्कहरू (१ तह)।
Add sub-item,उप-वस्तु थप्नुहोस्
Options,विकल्पहरू
Use as main menu,मुख्य मेनुको रूपमा प्रयोग गर्नुहोस्
"Primary navigation — on mobile it collapses into a hamburger menu. Turn off for a simple link list (e.g. a footer), which stays inline on mobile.","प्राथमिक नेभिगेसन — मोबाइलमा यो ह्याम्बर्गर मेनुमा परिणत हुन्छ। साधारण लिङ्क सूची (जस्तै फुटर) का लागि बन्द गर्नुहोस्, जुन मोबाइलमा इनलाइन रहन्छ।"
Custom CSS classes,कस्टम CSS क्लासहरू
Applied to the rendered menu element.,रेन्डर गरिएको मेनु तत्वमा लागू गरिन्छ।
e.g. main-nav font-semibold,जस्तै main-nav font-semibold
S,S
M,M
L,L
Tiles,टाइलहरू
Add tile,टाइल थप्नुहोस्
Hero · ,हिरो · 
Used when no image is set.,कुनै छवि सेट नगरिएको बेला प्रयोग गरिन्छ।
Small label above the heading.,शीर्षकमाथिको सानो लेबल।
THE SUMMER EDIT,THE SUMMER EDIT
New Arrivals,नयाँ आगमनहरू
Body,मुख्य भाग
Big card — the headline of the grid.,ठूलो कार्ड — ग्रिडको शीर्षरेखा।
Link URL,लिङ्क URL
Gap,खाली ठाउँ
Minimum block height,न्यूनतम ब्लक उचाइ
Image left,छवि बायाँ
Image right,छवि दायाँ
Centered,केन्द्रित
Pull quote,पुल कोट
Variant,प्रकार
Image column size,छवि स्तम्भ आकार
Describe the image,छविको वर्णन गर्नुहोस्
Copy,पाठ सामग्री
"Small all-caps label. E.g. ""OUR STORY"".","सानो सबै-ठूलो अक्षरको लेबल। जस्तै ""OUR STORY""।"
Our story,हाम्रो कथा
"Made by hand, in small batches","हातले बनाइएको, सानो ब्याचमा"
"Required for the pull-quote variant. Displayed large, styled as a blockquote.","पुल-कोट प्रकारका लागि आवश्यक। ठूलो आकारमा, ब्लककोटको रूपमा देखाइन्छ।"
"A short, quotable line.","छोटो, उद्धरण गर्न मिल्ने पङ्क्ति।"
Three or four sentences of brand narrative.,ब्रान्ड कथाका तीन वा चार वाक्य।
Second body paragraph (optional),दोस्रो मुख्य अनुच्छेद (वैकल्पिक)
A second short paragraph if the story needs it.,कथालाई आवश्यक भएमा दोस्रो छोटो अनुच्छेद।
Read more link,थप पढ्ने लिङ्क
Read more,थप पढ्नुहोस्
URL,URL
Remove read-more link,थप-पढ्ने लिङ्क हटाउनुहोस्
+ Add a read-more link,+ थप-पढ्ने लिङ्क थप्नुहोस्
Square,वर्ग
Landscape,ल्यान्डस्केप
Portrait,पोर्ट्रेट
Overlay,ओभरले
Below,तल
New category,नयाँ श्रेणी
Section heading,खण्ड शीर्षक
Optional. Shown above the grid.,वैकल्पिक। ग्रिडमाथि देखाइन्छ।
Shop by category,श्रेणी अनुसार किनमेल
Women,महिला
Columns,स्तम्भहरू
Auto,स्वतः
Asymmetric makes the first tile span 2 columns.,असमिति बनाउँदा पहिलो टाइल २ स्तम्भमा फैलिन्छ।
Uniform,एकसमान
Asymmetric,असमिति
Image aspect,छवि अनुपात
Label position,लेबल स्थिति
Blush,ब्लश
XL,XL
Position ${c},स्थिति ${c}
Column layout,स्तम्भ लेआउट
Drag widgets into each column. Children re-flow when you change the ratio.,प्रत्येक स्तम्भमा विजेटहरू तान्नुहोस्। अनुपात परिवर्तन गर्दा चाइल्डहरू पुनः मिलाइन्छ।
Space between columns.,स्तम्भहरूबीचको खाली ठाउँ।
Where content sits within each column. Applied uniformly to every column.,प्रत्येक स्तम्भभित्र सामग्री कहाँ रहन्छ। हरेक स्तम्भमा एकसमान लागू गरिन्छ।
Row appearance,पङ्क्ति देखावट
Background,पृष्ठभूमि
Custom color,कस्टम रङ
"Any CSS color (e.g. ""#0a0a0a"" or ""rgb(10,10,10)""). Leave empty to use the swatch above.","कुनै पनि CSS रङ (जस्तै ""#0a0a0a"" वा ""rgb(10,10,10)"")। माथिको स्वाच प्रयोग गर्न खाली छोड्नुहोस्।"
Padding,प्याडिङ
Outer spacing around the row. Scales down on mobile.,पङ्क्ति वरिपरिको बाहिरी खाली ठाउँ। मोबाइलमा घट्छ।
Solid,ठोस
Dashed,धर्के
Already expired,पहिले नै म्याद सकिएको
Expires in ${days}d ${hours}h,${days}d ${hours}h मा म्याद सकिन्छ
Expires in ${hours}h ${minutes}m,${hours}h ${minutes}m मा म्याद सकिन्छ
Offer,प्रस्ताव
"Urgency line. Optional. E.g. ""Limited · Ends Sunday"".","तत्कालता पङ्क्ति। वैकल्पिक। जस्तै ""Limited · Ends Sunday""।"
Limited · Ends Sunday,सीमित · आइतबार सकिन्छ
Headline,शीर्षरेखा
Take 20% off your order,आफ्नो अर्डरमा 20% छुट लिनुहोस्
Optional. One short instructional line.,वैकल्पिक। एउटा छोटो निर्देशन पङ्क्ति।
Use code at checkout,चेकआउटमा कोड प्रयोग गर्नुहोस्
Promo code,प्रोमो कोड
Displayed in uppercase to shoppers.,किनमेलकर्ताहरूलाई ठूलो अक्षरमा देखाइन्छ।
Expires,म्याद सकिन्छ
Optional. The block auto-hides after this time for live visitors.,वैकल्पिक। यो समयपछि लाइभ आगन्तुकहरूका लागि ब्लक स्वतः लुक्छ।
Call to action,कार्यको आह्वान
Button label,बटन लेबल
Shop now →,अहिले किन्नुहोस् →
Button link,बटन लिङ्क
Appearance,देखावट
Border,किनारा
Narrow,साँघुरो
Normal,सामान्य
Wide,फराकिलो
Shown above all content. Optional.,सबै सामग्रीमाथि देखाइन्छ। वैकल्पिक।
e.g. Frequently asked,जस्तै बारम्बार सोधिने
Prose,गद्य
FAQ group · ${count} items,FAQ समूह · ${count} वस्तुहरू
Group heading,समूह शीर्षक
Optional sub-heading.,वैकल्पिक उप-शीर्षक।
e.g. Shipping,जस्तै ढुवानी
Add question,प्रश्न थप्नुहोस्
Question,प्रश्न
e.g. How long does shipping take?,जस्तै ढुवानीमा कति समय लाग्छ?
Answer,उत्तर
"Supports **bold**, _italic_, and line breaks.","**bold**, _italic_, र लाइन ब्रेकलाई समर्थन गर्छ।"
e.g. Orders ship within 24 hours…,जस्तै अर्डरहरू २४ घण्टाभित्र ढुवानी हुन्छन्…
Add prose,गद्य थप्नुहोस्
Add FAQ group,FAQ समूह थप्नुहोस्
Max width,अधिकतम चौडाइ
Content column width.,सामग्री स्तम्भ चौडाइ।
Allow multiple open,धेरै खुला हुन अनुमति दिनुहोस्
"When off, opening one FAQ item closes the others in the same group.","बन्द हुँदा, एउटा FAQ वस्तु खोल्दा सोही समूहका अरूहरू बन्द हुन्छन्।"
New link,नयाँ लिङ्क
New column,नयाँ स्तम्भ
Add column,स्तम्भ थप्नुहोस्
${title} · ${count} links,${title} · ${count} लिङ्कहरू
Column title,स्तम्भ शीर्षक
Links,लिङ्कहरू
"Min 1, max 12.","न्यूनतम १, अधिकतम १२।"
Add link,लिङ्क थप्नुहोस्
New arrivals,नयाँ आगमनहरू
Boxed,बक्स गरिएको
Wide (full bleed),फराकिलो (पूर्ण किनारासम्म)
Boxed stays inside the page's container (theme decides the max-width). Wide breaks out edge-to-edge.,बक्स गरिएको पृष्ठको कन्टेनरभित्र रहन्छ (थिमले अधिकतम चौडाइ निर्धारण गर्छ)। फराकिलो किनारादेखि किनारासम्म फैलिन्छ।
Scales down on mobile.,मोबाइलमा घट्छ।
Optional. Painted behind content. Combine with a tint below for legibility.,वैकल्पिक। सामग्रीको पछाडि रङ लगाइन्छ। पठनीयताका लागि तलको टिन्टसँग संयोजन गर्नुहोस्।
XS,XS
Spacing,खाली ठाउँ
Size,आकार
Mobile scales down ~⅔ automatically.,मोबाइलमा स्वतः ~⅔ ले घट्छ।
Divider line,विभाजक रेखा
Show divider line,विभाजक रेखा देखाउनुहोस्
A horizontal rule centred in the spacing band.,स्पेसिङ ब्यान्डको बीचमा केन्द्रित तेर्सो रेखा।
Line color,रेखाको रङ
Default uses the theme's divider color.,पूर्वनिर्धारितले थिमको विभाजक रङ प्रयोग गर्छ।
Sides,छेउहरू
Bottom,तल
Dots,थोप्लाहरू
Bars,पट्टीहरू
Mobile image (optional),मोबाइल छवि (वैकल्पिक)
Used at ≤ 767 px. Falls back to the main image.,≤ 767 px मा प्रयोग हुन्छ। मुख्य छविमा फर्किन्छ।
e.g. New collection,"जस्तै, नयाँ सङ्ग्रह"
e.g. Summer Sale,"जस्तै, ग्रीष्म बिक्री"
Sub text,उप पाठ
Check out our latest products with special discounts.,विशेष छुटसहित हाम्रा नवीनतम उत्पादनहरू हेर्नुहोस्।
Primary button,प्राथमिक बटन
Secondary button,द्वितीयक बटन
+ Add secondary button,+ द्वितीयक बटन थप्नुहोस्
Overrides,ओभरराइडहरू
Leaves slide-specific anchor; falls back to the slideshow's default.,स्लाइड-विशिष्ट एङ्कर छोड्छ; स्लाइडशोको पूर्वनिर्धारितमा फर्किन्छ।
Overlay tint,ओभरले टिन्ट
Overlay opacity,ओभरले अपारदर्शिता
Make whole slide clickable,सम्पूर्ण स्लाइड क्लिक गर्न मिल्ने बनाउनुहोस्
Behavior,व्यवहार
Transition,सङ्क्रमण
Slide,स्लाइड
Fade,फेड
Transition speed,सङ्क्रमण गति
Autoplay,स्वतः प्ले
Autoplay delay,स्वतः प्ले ढिलाइ
${seconds} s between slides,स्लाइडहरू बीच ${seconds} से
Pause on hover,होभरमा रोक्नुहोस्
Pause for 20 s after user nav,प्रयोगकर्ता न्याभिगेसनपछि 20 से रोक्नुहोस्
Arrows,तीरहरू
Aspect ratio,आस्पेक्ट अनुपात
`Auto` matches the natural image height (jumps between slides).,`Auto` ले प्राकृतिक छवि उचाइसँग मेल खान्छ (स्लाइडहरू बीच उफ्रिन्छ)।
Default content position,पूर्वनिर्धारित सामग्री स्थिति
Per-slide overrides win.,प्रति-स्लाइड ओभरराइडहरूले जित्छन्।
Default overlay tint,पूर्वनिर्धारित ओभरले टिन्ट
Default overlay opacity,पूर्वनिर्धारित ओभरले अपारदर्शिता
Slides (${count}),स्लाइडहरू (${count})
No slides yet.,अहिलेसम्म कुनै स्लाइड छैन।
Add your first slide,तपाईंको पहिलो स्लाइड थप्नुहोस्
Slide ${number},स्लाइड ${number}
Image only,छवि मात्र
Empty,खाली
Show slide,स्लाइड देखाउनुहोस्
Hide slide,स्लाइड लुकाउनुहोस्
Move slide up,स्लाइड माथि सार्नुहोस्
Move slide down,स्लाइड तल सार्नुहोस्
Delete slide,स्लाइड मेट्नुहोस्
Top,माथि
Cover,कभर
Contain,कन्टेन
Required for accessibility.,पहुँचयोग्यताका लागि आवश्यक।
Image fit,छवि फिट
"Small all-caps label. E.g. ""LIMITED EDITION"".","सानो सबै-ठूला अक्षरको लेबल। जस्तै, ""LIMITED EDITION""।"
Limited edition,सीमित संस्करण
One strong line,एउटा बलियो लाइन
Two lines of supporting copy.,समर्थन गर्ने दुई लाइन पाठ।
Image position,छवि स्थिति
Vertical alignment,ठाडो पङ्क्तिबद्धता
Aligns the copy panel content.,पाठ प्यानलको सामग्री पङ्क्तिबद्ध गर्छ।
Remove call to action,कल टु एक्सन हटाउनुहोस्
Add a call to action,कल टु एक्सन थप्नुहोस्
Custom CSS classes for the text block,पाठ ब्लकका लागि कस्टम CSS क्लासहरू
Add group,समूह थप्नुहोस्
${label} · ${count} subs,${label} · ${count} उप
Parent label,प्यारेन्ट लेबल
Parent link,प्यारेन्ट लिङ्क
Image alt text,छवि alt पाठ
Sub-categories,उप-कोटिहरू
"Min 1, max 8.","न्यूनतम 1, अधिकतम 8।"
Add sub-category,उप-कोटि थप्नुहोस्
Dresses,पोशाकहरू
Columns (desktop),स्तम्भहरू (डेस्कटप)
On tablets the layout is always 2 columns.,ट्याब्लेटमा लेआउट सधैं 2 स्तम्भको हुन्छ।
Make parent image a link,प्यारेन्ट छविलाई लिङ्क बनाउनुहोस्
"When off, only the sub-chips and parent label are interactive.","बन्द हुँदा, उप-चिप र प्यारेन्ट लेबल मात्र अन्तरक्रियात्मक हुन्छन्।"
Title,शीर्षक
e.g. Free shipping,"जस्तै, निःशुल्क ढुवानी"
Optional supporting line below the title.,शीर्षकमुनि वैकल्पिक समर्थन लाइन।
Icon,आइकन
Optional. SVG or raster image. Hidden when icons are turned off globally.,वैकल्पिक। SVG वा र्‍यास्टर छवि। आइकनहरू विश्वव्यापी रूपमा बन्द गर्दा लुकाइन्छ।
Optional. Makes the whole cell clickable.,वैकल्पिक। सम्पूर्ण सेललाई क्लिक गर्न मिल्ने बनाउँछ।
"Auto matches the item count, capped at 4.","Auto ले वस्तु सङ्ख्यासँग मेल खान्छ, अधिकतम 4 मा सीमित।"
3,3
4,4
Icon size,आइकन आकार
Show icons,आइकनहरू देखाउनुहोस्
Master switch. Items without an icon URL are unaffected.,मास्टर स्विच। आइकन URL नभएका वस्तुहरू प्रभावित हुँदैनन्।
Show divider,विभाजक देखाउनुहोस्
Vertical line between cells.,सेलहरू बीचको ठाडो रेखा।
Collection,सङ्ग्रह
Search collections…,सङ्ग्रहहरू खोज्नुहोस्…
No collections match “${value}”.,कुनै पनि सङ्ग्रह “${value}” सँग मेल खाँदैन।
You have no collections yet.,तपाईंसँग अहिलेसम्म कुनै सङ्ग्रह छैन।
Please select a collection,कृपया एउटा सङ्ग्रह छनोट गर्नुहोस्
"Defaults to ""${name}"" (the collection's name).","पूर्वनिर्धारित ""${name}"" मा (सङ्ग्रहको नाम)।"
Defaults to the picked collection's name.,छनोट गरिएको सङ्ग्रहको नाममा पूर्वनिर्धारित हुन्छ।
Collection name,सङ्ग्रहको नाम
Defaults to the collection's description. Setting this replaces the rich-text description with plain text.,सङ्ग्रहको विवरणमा पूर्वनिर्धारित हुन्छ। यो सेट गर्दा रिच-टेक्स्ट विवरण सादा पाठले प्रतिस्थापन हुन्छ।
e.g. Hand-picked styles for the season.,"जस्तै, सिजनका लागि हातले छानिएका शैलीहरू।"
View all link,सबै हेर्ने लिङ्क
"Optional. Hidden when empty. Pick a category, product, page, or paste a custom URL.","वैकल्पिक। खाली हुँदा लुकाइन्छ। कोटि, उत्पादन, पृष्ठ छान्नुहोस्, वा कस्टम URL टाँस्नुहोस्।"
"Optional. Defaults to ""View all →"".","वैकल्पिक। पूर्वनिर्धारित ""View all →"" मा।"
View all →,सबै हेर्नुहोस् →
Total products,कुल उत्पादनहरू
Number of products to display.,देखाउने उत्पादनहरूको सङ्ख्या।
Products per row,प्रति पङ्क्ति उत्पादनहरू
Grid columns (1–6 typical).,ग्रिड स्तम्भहरू (सामान्यतया 1–6)।
Count is required,गणना आवश्यक छ
e.g. 8,"जस्तै, 8"
Count per row is required,प्रति पङ्क्ति गणना आवश्यक छ
e.g. 4,"जस्तै, 4"
Cover image,कभर छवि
COLLECTION,सङ्ग्रह
"Defaults to ""${pickedName}"".","पूर्वनिर्धारित ""${pickedName}"" मा।"
Defaults to the picked collection name.,छनोट गरिएको सङ्ग्रहको नाममा पूर्वनिर्धारित हुन्छ।
Optional. One or two sentences of editorial copy.,वैकल्पिक। सम्पादकीय पाठको एक वा दुई वाक्य।
"Linen, cotton, easy stuff.","लिनेन, कपास, सजिला कुराहरू।"
Preview product count,पूर्वावलोकन उत्पादन गणना
2 (1×2),2 (1×2)
4 (2×2),4 (2×2)
Please pick a collection,कृपया एउटा सङ्ग्रह छान्नुहोस्
Add collection,सङ्ग्रह थप्नुहोस्
Row heading,पङ्क्ति शीर्षक
The Linen Edit,द लिनेन एडिट
Optional. Hidden when empty.,वैकल्पिक। खाली हुँदा लुकाइन्छ।
View all label,सबै हेर्ने लेबल
Show price,मूल्य देखाउनुहोस्
Show divider between rows,पङ्क्तिहरू बीच विभाजक देखाउनुहोस्
Selected:,चयन गरिएको:
Image override,छवि ओभरराइड
Override image,छवि ओभरराइड गर्नुहोस्
Override image (optional),छवि ओभरराइड गर्नुहोस् (वैकल्पिक)
Leave empty to use the product's primary image.,उत्पादनको प्राथमिक छवि प्रयोग गर्न खाली छोड्नुहोस्।
Small label above the product name. Optional.,उत्पादनको नाममाथिको सानो लेबल। वैकल्पिक।
FEATURED,विशेष
Editorial copy,सम्पादकीय पाठ
Overrides the product's own description in this context. Leave blank to hide.,यस सन्दर्भमा उत्पादनको आफ्नै विवरण ओभरराइड गर्छ। लुकाउन खाली छोड्नुहोस्।
Two lines of copy explaining why this product is being spotlighted right now.,यो उत्पादन अहिले किन प्रकाशमा ल्याइँदैछ भनेर व्याख्या गर्ने दुई लाइन पाठ।
Please pick a product,कृपया एउटा उत्पादन छान्नुहोस्
e.g. On orders over $50,"जस्तै, $50 भन्दा माथिको अर्डरमा"
Text block,पाठ ब्लक
Menu,मेनु
Footer menu,फुटर मेनु
Banner,ब्यानर
Simple Slideshow,साधारण स्लाइडशो
Brand story,ब्रान्ड कथा
Category mosaic,कोटि मोजाइक
Tiered categories,तहगत कोटिहरू
Bento grid,बेन्टो ग्रिड
Separator,विभाजक
Section,खण्ड
Split feature,विभाजित विशेषता
Announcement bar,घोषणा पट्टी
Coupon block,कुपन ब्लक
FAQ block,FAQ ब्लक
Trust strip,विश्वास पट्टी
Collection products,सङ्ग्रह उत्पादनहरू
Collection stack,सङ्ग्रह स्ट्याक
Collection spotlight,सङ्ग्रह स्पटलाइट
Product hero,उत्पादन हिरो
Layout container with 1–4 columns for nesting widgets.,विजेटहरू नेस्ट गर्न १–४ स्तम्भसहितको लेआउट कन्टेनर।
Add rich text content,रिच टेक्स्ट सामग्री थप्नुहोस्
Navigation links,नेभिगेसन लिङ्कहरू
Multi-column list of footer links — a titled column of navigation links per group.,फुटर लिङ्कहरूको बहु-स्तम्भ सूची — प्रत्येक समूहका लागि नेभिगेसन लिङ्कहरूको शीर्षकसहित स्तम्भ।
A single hero image with optional overlay copy and CTAs.,वैकल्पिक ओभरले पाठ र CTA सहितको एकल हिरो छवि।
Rotating image carousel,घुम्ने छवि क्यारोसेल
Editorial block combining an image and long-form brand narrative. Four layout variants.,छवि र लामो ब्रान्ड कथालाई जोड्ने सम्पादकीय ब्लक। चार लेआउट प्रकार।
"A grid of 3–6 category tiles for the primary ""Shop by category"" entry point.","प्राथमिक ""कोटि अनुसार किनमेल"" प्रवेश बिन्दुका लागि ३–६ कोटि टाइलको ग्रिड।"
A two-level nav block: parent category image plus a row of sub-category chips.,दुई-तह नेभ ब्लक: मूल कोटि छवि र उप-कोटि चिपहरूको पङ्क्ति।
An asymmetric mosaic of CTA tiles — one large hero plus 1–4 supporting tiles.,CTA टाइलहरूको असममित मोजाइक — एउटा ठूलो हिरो र १–४ सहायक टाइल।
"Vertical spacing between widgets, with an optional divider line. Mobile scales down automatically.","विजेटहरू बीचको ठाडो दूरी, वैकल्पिक विभाजक रेखासहित। मोबाइल स्वतः घट्छ।"
Styled droppable band that wraps other widgets. Toggle between wide (edge-to-edge) and boxed (theme container).,अन्य विजेटहरूलाई बेर्ने स्टाइल गरिएको ड्रप गर्न मिल्ने ब्यान्ड। चौडा (किनारा-देखि-किनारा) र बक्स गरिएको (थिम कन्टेनर) बीच टगल गर्नुहोस्।
A 50/50 image + copy promo block with optional CTA. The canonical promo moment widget.,वैकल्पिक CTA सहित ५०/५० छवि + पाठ प्रोमो ब्लक। मानक प्रोमो मोमेन्ट विजेट।
A thin top-of-page bar with one or more rotating announcements.,एक वा बढी घुम्ने घोषणासहितको पृष्ठको माथिल्लो पातलो पट्टी।
A promo panel with a copyable discount code and CTA.,प्रतिलिपि गर्न मिल्ने छुट कोड र CTA सहितको प्रोमो प्यानल।
Flexible content block mixing prose sections and accordion FAQ groups.,गद्य खण्ड र एकर्डियन FAQ समूहहरू मिसाउने लचिलो सामग्री ब्लक।
"A row of value-prop items (free shipping, easy returns, etc.) for below-the-hero or above-the-footer reinforcement.","हिरो-मुनि वा फुटर-माथि सुदृढीकरणका लागि मूल्य-प्रस्ताव वस्तुहरू (निःशुल्क शिपिङ, सजिलो फिर्ता, आदि) को पङ्क्ति।"
A list of products from a collection,सङ्ग्रहका उत्पादनहरूको सूची
"Stacked rows of collections, each with a heading, view-all link, and a strip of products.","सङ्ग्रहहरूका थुप्रिएका पङ्क्तिहरू, प्रत्येकमा शीर्षक, सबै-हेर्नुहोस् लिङ्क, र उत्पादनहरूको पट्टी।"
"A featured collection with cover image, editorial copy, and a small product preview grid.","कभर छवि, सम्पादकीय पाठ, र सानो उत्पादन पूर्वावलोकन ग्रिडसहितको विशेष सङ्ग्रह।"
"A single-product spotlight — image, name, price, and a link to the full product page.","एकल-उत्पादन स्पटलाइट — छवि, नाम, मूल्य, र पूर्ण उत्पादन पृष्ठको लिङ्क।"
