Welcome Back!,خوش آمدید!
"Optional. Defaults to ""View all →"".",اختیاری. به‌طور پیش‌فرض «مشاهده‌ی همه →».
View all →,مشاهده‌ی همه →
Total products,کل محصولات
Number of products to display.,تعداد محصولات برای نمایش.
Products per row,محصولات در هر ردیف
Grid columns (1–6 typical).,ستون‌های شبکه (معمولاً ۱ تا ۶).
Count is required,تعداد الزامی است
e.g. 8,مثلاً 8
Count per row is required,تعداد در هر ردیف الزامی است
e.g. 4,مثلاً 4
Cover image,تصویر جلد
COLLECTION,مجموعه
"Defaults to ""${pickedName}"".",به‌طور پیش‌فرض «${pickedName}».
Defaults to the picked collection name.,به‌طور پیش‌فرض نام مجموعه‌ی انتخاب‌شده.
Optional. One or two sentences of editorial copy.,اختیاری. یک یا دو جمله متن تحریریه.
"Linen, cotton, easy stuff.",کتان، پنبه، چیزهای راحت.
Preview product count,تعداد محصولات پیش‌نمایش
2 (1×2),۲ (۱×۲)
4 (2×2),۴ (۲×۲)
Please pick a collection,لطفاً یک مجموعه انتخاب کنید
Add collection,افزودن مجموعه
Row heading,عنوان ردیف
The Linen Edit,گزیده‌ی کتان
Optional. Hidden when empty.,اختیاری. وقتی خالی باشد پنهان می‌شود.
View all label,برچسب مشاهده‌ی همه
Show price,نمایش قیمت
Show divider between rows,نمایش جداکننده بین ردیف‌ها
Selected:,انتخاب‌شده:
Image override,بازنویسی تصویر
Override image,بازنویسی تصویر
Override image (optional),بازنویسی تصویر (اختیاری)
Leave empty to use the product's primary image.,برای استفاده از تصویر اصلی محصول، خالی بگذارید.
Small label above the product name. Optional.,برچسب کوچک بالای نام محصول. اختیاری.
FEATURED,ویژه
Editorial copy,متن تحریریه
Overrides the product's own description in this context. Leave blank to hide.,توضیحات خود محصول را در این بخش بازنویسی می‌کند. برای پنهان‌کردن، خالی بگذارید.
Two lines of copy explaining why this product is being spotlighted right now.,دو خط متن که توضیح می‌دهد چرا این محصول هم‌اکنون برجسته شده است.
Please pick a product,لطفاً یک محصول انتخاب کنید
e.g. On orders over $50,مثلاً برای سفارش‌های بالای ۵۰$
Text block,بلوک متن
Menu,منو
Footer menu,منوی پاورقی
Banner,بنر
Simple Slideshow,اسلایدشو ساده
Brand story,داستان برند
Category mosaic,موزاییک دسته‌بندی
Tiered categories,دسته‌بندی‌های لایه‌ای
Bento grid,شبکه بنتو
Separator,جداکننده
Section,بخش
Split feature,ویژگی دوبخشی
Announcement bar,نوار اعلان
Coupon block,بلوک کوپن
FAQ block,بلوک پرسش‌های متداول
Trust strip,نوار اعتماد
Collection products,محصولات مجموعه
Collection stack,پشته مجموعه‌ها
Collection spotlight,نمایش ویژه مجموعه
Product hero,هیروی محصول
Layout container with 1–4 columns for nesting widgets.,ظرف چیدمان با ۱ تا ۴ ستون برای جای‌گذاری ویجت‌ها.
Add rich text content,افزودن محتوای متنی غنی
Navigation links,پیوندهای پیمایش
Multi-column list of footer links — a titled column of navigation links per group.,فهرست چندستونی پیوندهای فوتر — یک ستون عنوان‌دار از پیوندهای پیمایش برای هر گروه.
A single hero image with optional overlay copy and CTAs.,یک تصویر هیروی واحد با متن روکش و دکمه‌های CTA اختیاری.
Rotating image carousel,چرخ‌فلک تصویر گردشی
Editorial block combining an image and long-form brand narrative. Four layout variants.,بلوک تحریریه که یک تصویر و روایت بلند برند را ترکیب می‌کند. چهار گونه چیدمان.
"A grid of 3–6 category tiles for the primary ""Shop by category"" entry point.",شبکه‌ای از ۳ تا ۶ کاشی دسته‌بندی برای نقطه ورود اصلی «خرید بر اساس دسته‌بندی».
A two-level nav block: parent category image plus a row of sub-category chips.,بلوک پیمایش دوسطحی: تصویر دسته‌بندی والد به‌علاوه ردیفی از تراشه‌های زیردسته.
An asymmetric mosaic of CTA tiles — one large hero plus 1–4 supporting tiles.,موزاییک نامتقارن از کاشی‌های CTA — یک هیروی بزرگ به‌علاوه ۱ تا ۴ کاشی پشتیبان.
"Vertical spacing between widgets, with an optional divider line. Mobile scales down automatically.",فاصله عمودی بین ویجت‌ها، با خط جداکننده اختیاری. در موبایل به‌صورت خودکار کوچک می‌شود.
Styled droppable band that wraps other widgets. Toggle between wide (edge-to-edge) and boxed (theme container).,نوار قابل رهاسازی استایل‌دار که ویجت‌های دیگر را در بر می‌گیرد. بین حالت گسترده (لبه‌به‌لبه) و جعبه‌ای (ظرف قالب) جابه‌جا کنید.
A 50/50 image + copy promo block with optional CTA. The canonical promo moment widget.,بلوک تبلیغاتی ۵۰/۵۰ تصویر + متن با CTA اختیاری. ویجت متعارف لحظه تبلیغاتی.
A thin top-of-page bar with one or more rotating announcements.,نوار باریک بالای صفحه با یک یا چند اعلان گردشی.
A promo panel with a copyable discount code and CTA.,پنل تبلیغاتی با کد تخفیف قابل کپی و CTA.
Flexible content block mixing prose sections and accordion FAQ groups.,بلوک محتوای انعطاف‌پذیر که بخش‌های متنی و گروه‌های آکاردئونی پرسش‌های متداول را ترکیب می‌کند.
"A row of value-prop items (free shipping, easy returns, etc.) for below-the-hero or above-the-footer reinforcement.",ردیفی از موارد ارزش‌آفرین (ارسال رایگان، بازگشت آسان و غیره) برای تقویت زیر هیرو یا بالای فوتر.
A list of products from a collection,فهرستی از محصولات یک مجموعه
"Stacked rows of collections, each with a heading, view-all link, and a strip of products.",ردیف‌های پشته‌ای از مجموعه‌ها، هر کدام با یک عنوان، پیوند مشاهده همه و نواری از محصولات.
"A featured collection with cover image, editorial copy, and a small product preview grid.",یک مجموعه ویژه با تصویر جلد، متن تحریریه و شبکه‌ای کوچک از پیش‌نمایش محصولات.
"A single-product spotlight — image, name, price, and a link to the full product page.",نمایش ویژه تک‌محصول — تصویر، نام، قیمت و پیوندی به صفحه کامل محصول.
